employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,is_primary,address_source,address_trust
FALK & FALK,,,,,,,True,,
FAME HARDWOOD,,,,,,,True,,
FAMILY & CHILDREN'S EYE CENTER OF NM,4601 DRIPPING SPRINGS RD NE,ALBUQUERQUE,NM,87108,35.072343,-106.578318,True,ai,corroborated
FAMILY CENTER ASSOCIATES,,,,,,,True,,
FAMILY CORNER LLC,,,,,,,True,,
FAMILY EYE CARE,,,,,,,True,,
FAMILY MANAGEMENT CORP,,,,,,,True,,
FAMILY MANAGEMENT OF FLORIDA,,,,,,,True,,
FAMILY PARTNERS LTD,,,,,,,True,,
FAMILY TREE DNA GENE BY GENE,1445 N LOOP 1604 W STE 101,SAN ANTONIO,TX,78248,29.6028128,-98.5371505,True,ai,corroborated
FAMILY WEALTH SERVICES LLC,,,,,,,True,,
FANGIRL SPORTS NETWORKJ,,,,,,,True,,
FANNIE MAE,1100 15TH ST NW,WASHINGTON,DC,20005,38.9045346,-77.0355803,True,ai,grounded
FANNING ENTERPRISE INC,,,,,,,True,,
FANNY GRUNBERG & ASSOCIATES LLC,928 BROADWAY,NEW YORK,NY,10010,40.7401034,-73.9893444,True,manual,verified
FANTASEA YACHTS & YACHT CLUB,645 BAYVIEW DR,DANIA BEACH,FL,33004,26.061046,-80.135859,True,ai,uncorroborated
FANTASEYES,,,,,,,True,,
FANTASTIK REALTY,,,,,,,True,,
FANTIS FOODS,2200 N MAIN ST,HIGH POINT,NC,27260,35.984063,-80.0234855,True,ai,uncorroborated
FARAH LAW,1629 K ST NW,WASHINGTON,DC,20006,38.903045,-77.0377539,True,ai,uncorroborated
FARERI ASSOCIATES,,,,,,,True,,
FARKAS MANAGEMENT LLC,,,,,,,True,,
FARRELL FAMILY FARM,,,,,,,True,,
FARRELL FRITZ,1320 RXR PLAZA UNIONDALE,UNIONDALE,NY,11556,40.7189633,-73.5831416,True,ai,corroborated
FASHION INSTITUTE OF TECHNOLOGY,SEVENTH AVE AT 27TH ST,NEW YORK,NY,10001,40.74661873655,-73.993813553343,True,ai,grounded
FASHION OPTIONS,,,,,,,True,,
FAU,777 GLADES RD,BOCA RATON,FL,33431,26.3699057,-80.1064316,True,ai,corroborated
FAUVER ATTORNEYS & COUNSELORS AT LAW,214 W 7TH ST,LITTLE FALLS,MN,56345,45.9708818,-94.3787415,True,ai,uncorroborated
FAZIO CLEANERS,,,,,,,True,,
FBC BROOKHAVEN,,,,,,,True,,
FBE LIMITED LLC,,,,,,,True,,
FBE MANAGEMENT INC,,,,,,,True,,
FC SETTLEMENT,,,,,,,True,,
FCA,800 CHRYSLER DR,AUBURN HILLS,MI,48326,42.651597,-83.22465,True,ai,corroborated
FCB,ONE MANHATTAN WEST 395 9TH AVE,NEW YORK,NY,10001,40.750649,-73.997298,True,ai,corroborated
FDA,10903 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20993,39.0098505,-76.9793143,True,ai,grounded
FEAREY,,,,,,,True,,
FEDERAL AVIATION,,,,,,,True,,
FEDERAL AVIATION ADMINISTRATION,800 INDEPENDENCE AVE SW,WASHINGTON,DC,20591,38.8868647,-77.0229493,True,ai,uncorroborated
FEDERAL EQUIPMENT CO,8200 BESSEMER AVE,CLEVELAND,OH,44127,41.467,-81.631358,True,ai,grounded
FEDERAL GOVERNMENT,1600 PENNSYLVANIA AVE NW,WASHINGTON,DC,20500,38.8976387,-77.0365528,True,ai,grounded
FEDERAL HEALTH COUNSEL,,,,,,,True,,
FEDERAL HOME LOAN BANK OF SAN FRANCISCO,600 CALIFORNIA ST,SAN FRANCISCO,CA,94108,37.7929829,-122.4047906,True,manual,verified
FEDERAL INDUSTRIES INC,645 HAWAII ST,EL SEGUNDO,CA,90245,33.9064181,-118.3816733,True,manual,verified
FEDERAL RESERVE BOARD OF GOVERNORS,20TH ST AND CONSTITUTION AVE NW,WASHINGTON,DC,20551,38.892802,-77.0458,True,ai,uncorroborated
FEDERAL STREET STRATEGIES,22 FEDERAL ST,BOSTON,MA,02110,42.3546882,-71.056517,True,ai,uncorroborated
FEDERAL TRADE COMMISSION,600 PENNSYLVANIA AVE NW,WASHINGTON,DC,20580,38.8926643,-77.0209136,True,ai,corroborated
FEDEX SERVICES,942 S SHADY GROVE RD,MEMPHIS,TN,38120,35.123633,-89.852645,True,ai,uncorroborated
FEDWAY ASSOCIATES,505 MARTINSVILLE RD,BASKING RIDGE,NJ,07920,40.682268,-74.554143,True,manual,verified
FEFFER GEOLOGICAL,,,,,,,True,,
FEI,5350 NE DAWSON CREEK DR,HILLSBORO,OR,97124,45.5427584,-122.9295565,True,ai,grounded
FEINBERG MINDEL BRANDT & KLEIN LLP,475 LEXINGTON AVE STE 402,NEW YORK,NY,10017,40.7538201,-73.9741432,True,ai,uncorroborated
FEINER FINANCIAL,,,,,,,True,,
FEINER GRANT STRATEGIES,600 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003,38.8856649,-76.9976468,True,ai,uncorroborated
FEINSAND BUSINESS ADVISORY,,,,,,,True,,
FELD ENTERTAINMENT INC,PO BOX 1000,PALMETTO,FL,34220,27.5214269,-82.5723193,True,ai,grounded
FELDERSTEIN FITZGERALD WILLOUGHBY ETAL,400 CAPITOL MALL STE 1450,SACRAMENTO,CA,95814,38.5783896,-121.5024905,True,ai,corroborated
FELDESMAN LEIFER LLP,1129 20TH ST NW STE 900,WASHINGTON,DC,20036,38.9046242,-77.0446612,True,ai,grounded
FELDMAN INVESTMENT MANAGEMENT,10940 WILSHIRE BLVD STE 1360,LOS ANGELES,CA,90024,34.0580322,-118.4450834,True,ai,uncorroborated
"FELDMAN, SLEVIN, HURWITZ & CHOE, DDS",,,,,,,True,,
FELDSTONERIDGE PROPERTIES,1701 W MOCKINGBIRD LN,DALLAS,TX,75235,32.8222963,-96.8570823,True,ai,uncorroborated
FELKER TOCZEK SUDDLESON ABRAMSON LLP,1801 CENTURY PARK EAST STE 2000,LOS ANGELES,CA,90067,34.0621129,-118.4158133,True,manual,verified
FELLOWS LABRIOLA LLP,233 PEACHTREE ST NE SUITE 2400 HARRIS TOWER,ATLANTA,GA,30303,33.7633772,-84.3867741,True,ai,grounded
FELSON COMPANIES,1290 B ST #212,HAYWARD,CA,94541,37.676380750681,-122.077925982362,True,ai,grounded
FELT GOOD CO,,,,,,,True,,
FENCEWORKS,,,,,,,True,,
FENIGSTEIN & KAUFMAN,,,,,,,True,,
FENSTERSHEIB AND BERKOWITZ,,,,,,,True,,
FENWICK & WEST LLP,555 CALIFORNIA ST STE 2100,SAN FRANCISCO,CA,94104,37.7921219,-122.4037191,True,ai,corroborated
FERBER ESSNER & COLLER LLP,600 UNIVERSITY AVE #29,PALO ALTO,CA,94301,37.4495026,-122.1576836,True,ai,uncorroborated
FERMAT CAPITAL,,,,,,,True,,
FERMENT,,,,,,,True,,
FERNANDO SALVATO MDPA,,,,,,,True,,
"FERRARA, TURITZ, HARRAKA & GOLDBERG",,,,,,,True,,
FERRING,500 COLLEGE RD E,PRINCETON,NJ,08540,40.364728,-74.656314,True,ai,grounded
FERTILITY SPACE CONSULTANTS LLC,,,,,,,True,,
FERTILITY SPECIALIST OF TEXAS,103 W BROWN ST,CARROLLTON,TX,75006,32.962141,-96.898585,True,ai,corroborated
FETNER PROPERTIES,,,,,,,True,,
FETTERMANAGEMENT,,,,,,,True,,
FEUERSTEIN KULICK LLP,810 7TH AVE 6TH FLOOR,NEW YORK,NY,10019,40.7628326,-73.9822756,True,ai,corroborated
FEVO,12 LITTLE WEST 12TH ST,NEW YORK,NY,10014,40.7397171,-74.0069338,True,ai,grounded
FFC,1350 AVE OF THE AMERICAS,NEW YORK,NY,10019,40.7627635,-73.9779699,True,ai,uncorroborated
FFO,,,,,,,True,,
"FG RESIDENTIAL, LLX",,,,,,,True,,
FGMC,,,,,,,True,,
FGS GLOBAL,950 THIRD AVE,NEW YORK,NY,10022,40.760231166369,-73.96763630302,True,ai,uncorroborated
FH CANN,,,,,,,True,,
FHLBSF,ONE FRONT ST,SAN FRANCISCO,CA,94111,37.7918825,-122.3988519,True,ai,corroborated
FHPS,,,,,,,True,,
"FIBA SERVICES, AND TAMPA JCCS AND FEDERATION",,,,,,,True,,
FIBERTRON,800 WESTCHESTER AVE,RYE BROOK,NY,10573,41.0064196,-73.6903244,True,ai,uncorroborated
FIBRE TECH,,,,,,,True,,
FICS AMERICA,,,,,,,True,,
FIDELITY INVESTMENTS,245 SUMMER ST,BOSTON,MA,02210,42.351446,-71.053095,True,ai,grounded
FIDELITY INVESTMENTS,7501 WISCONSIN AVE STE 150W,BETHESDA,MD,20814,38.98481703767,-77.094155664151,False,ai,grounded
FIDELITY INVESTMENTS,220 BOYLSTON ST STE C115,CHESTNUT HILL,MA,02467,42.319585625981,-71.17753884019,False,ai,grounded
FIDELITY INVESTMENTS,109 UNIVERSITY AVE,WESTWOOD,MA,02090,42.205918344196,-71.152491320465,False,ai,grounded
FIDELITY MORTGAGE LENDERS,70 SEAVIEW AVE,SIMSBURY,CT,06070,41.874682,-72.813825,True,ai,uncorroborated
FIDF,,,,,,,True,,
FIDM,919 S GRAND AVE,LOS ANGELES,CA,90015,34.04422,-118.2599289,True,ai,corroborated
FIELD AND GOLDBERG LLC,100 W 33RD ST STE 1300,NEW YORK,NY,10001,40.7491552,-73.98929,True,ai,uncorroborated
FIELD MANAGEMENT SERVICES,,,,,,,True,,
FIELDS HAN CUNNIFF PLLC,,,,,,,True,,
FIESTA EVENTS INC,,,,,,,True,,
FIGHTCAMP,1633 18TH ST,DENVER,CO,80202,39.7534,-104.9978642,True,ai,uncorroborated
FILMRISE,PO BOX 1955,CULVER CITY,CA,90232,34.0211224,-118.396466,True,ai,uncorroborated
FILMS BY JOAN,,,,,,,True,,
FINANCIAL PARTNERS CAPITAL MANAGEMENT,150 E 52ND ST,NEW YORK,NY,10022,40.7572301,-73.9707427,True,ai,grounded
FINCH BRANDS,123 S BROAD ST STE 2150,PHILADELPHIA,PA,19109,39.9498551,-75.1635303,True,ai,grounded
FINE LINENS,,,,,,,True,,
FINE MAKEUP ART,,,,,,,True,,
FINEGOLD LAW FIRM,350 FRANKLIN ST STE 100,BOSTON,MA,02110,42.3579066,-71.0524513,True,ai,uncorroborated
FINESSE,,,,,,,True,,
FINISH RICH MEDIA,,,,,,,True,,
FINMARC,7200 WISCONSIN AVE STE 1100,BETHESDA,MD,20814,38.981212,-77.0936554,True,manual,verified
FINNEGAN,901 NEW YORK AVE NW,WASHINGTON,DC,20001,38.9021086,-77.0248064,True,ai,uncorroborated
FINOPTIMAL INC,5615 KIRBY DR STE 435,HOUSTON,TX,77005,29.721876,-95.4179994,True,manual,verified
FINRA,1735 K ST NW,WASHINGTON,DC,20006,38.9028961,-77.0409302,True,ai,uncorroborated
FINTZ CPA,3131 EXECUTIVE PARK DR STE 200,CINCINNATI,OH,45241,39.276293,-84.399719,True,ai,uncorroborated
FIR TREE PARTNERS,500 5TH AVE 9TH FLOOR,NEW YORK,NY,10110,40.753554644906,-73.98091894542,True,ai,grounded
FIREBIRD GROVE LLC,,,,,,,True,,
FIRECLAY TILE,3800 BUCK OWENS BLVD,BAKERSFIELD,CA,93308,35.3948196,-119.043082,True,ai,uncorroborated
FIRM REAL ESTATE,,,,,,,True,,
FIRST ALLIANCE MORTGAGE COMPANY,17305 VON KARMAN AVE,IRVINE,CA,92614,33.6902162,-117.8422096,True,manual,verified
FIRST ALLIED SECURITIES,1745 SHEA CENTER DR STE 200,HIGHLANDS RANCH,CO,80129,39.5533635,-105.0085596,True,ai,uncorroborated
FIRST AMERICAN STATE BANK,300 N MAIN ST,ALLEN,TX,75002,33.102429396549,-96.667168391302,True,ai,uncorroborated
FIRST AMERICAN TITLE,4 FIRST AMERICAN WAY,SANTA ANA,CA,92707,33.7025854,-117.8618302,True,ai,corroborated
FIRST AMERICAN TITLE INSURANCE,3 FIRST AMERICAN WAY,SANTA ANA,CA,92707,33.7016376,-117.8609062,True,ai,corroborated
FIRST AVIATION SERVICES INC,,,,,,,True,,
FIRST CAPITOL GROUP,,,,,,,True,,
FIRST CLASS VENDING,,,,,,,True,,
FIRST EAGLE INVESTMENTS,1345 AVE OF THE AMERICAS 46TH FLOOR,NEW YORK,NY,10105,40.7629997,-73.9790535,True,ai,uncorroborated
FIRST FINISH,6240 OLD DOBBIN LN STE 190,COLUMBIA,MD,21045,39.201065,-76.8151815,True,manual,verified
FIRST HOLDING MANAGEMENT CO,,,,,,,True,,
FIRST HORIZON,165 MADISON AVE,MEMPHIS,TN,38103,35.1442715,-90.0507827,True,ai,corroborated
FIRST HOSPITAL,,,,,,,True,,
FIRST INTERSTATE PROPERTIES,1 S CHURCH AVE STE 700,TUCSON,AZ,85701,32.2213984,-110.971945,True,ai,uncorroborated
FIRST LONG ISLAND INVESTORS,,,,,,,True,,
FIRST MANHATTAN,49 W 37TH ST 6TH FLOOR,NEW YORK,NY,10018,40.751493,-73.9856467,True,ai,corroborated
FIRST MILE INC,,,,,,,True,,
FIRST NATIONAL,,,,,,,True,,
FIRST RATE FINANCIAL GROUP,,,,,,,True,,
FIRST REPUBLIC BANK,111 PINE ST,SAN FRANCISCO,CA,94111,37.7922256,-122.3990864,True,ai,corroborated
FIRST STATE,,,,,,,True,,
FIRST STUDENT,1010 WASHINGTON BLVD,OGDEN,UT,84404,41.2466186,-111.9697841,True,ai,uncorroborated
FIRST TECHNOLOGY INC,2000 GALLERIA PKWY SE,ATLANTA,GA,30339,33.86757,-84.4646,True,ai,uncorroborated
FIRST WASHINGTON REALTY INC,,,,,,,True,,
FIRSTNAME,,,,,,,True,,
FIRSTSERVICE RESIDENTIAL,1855 GRIFFIN RD STE A-330,DANIA BEACH,FL,33004,26.0595347,-80.161608,True,ai,grounded
FIS,601 RIVERSIDE AVE,JACKSONVILLE,FL,32204,30.3192214,-81.674122,True,ai,uncorroborated
FISCH PROPERTIES,,,,,,,True,,
FISCHEL| KAHN,,,,,,,True,,
FISCHER FRIEDMAN &BENNETT,,,,,,,True,,
FISCHER ROOFING,276 S HOPE CHAPEL RD,JACKSON,NJ,08527,40.0672259,-74.272404,True,ai,grounded
FISCHLER & FRIEDMAN PA,515 N FLAGLER DR STE P300,WEST PALM BEACH,FL,33401,26.7171669,-80.0507138,True,ai,corroborated
FISERV,255 FISERV DR,BROOKFIELD,WI,53045,43.0341769,-88.1410682,True,ai,uncorroborated
FISHBEIN LAW FIRM,1 N LASALLE ST STE 300,CHICAGO,IL,60602,41.8823192,-87.6320286,True,ai,uncorroborated
FISHER FAMILY AND COSMETIC DENTISTRY,,,,,,,True,,
FISHER INVESTMENTS,200 SW MARKET ST STE 200,NEWPORT BEACH,CA,92663,33.625204,-117.928767,True,ai,uncorroborated
FISHMAN AND COMPANY,420 LEXINGTON AVE STE 300,NEW YORK,NY,10170,40.7524677,-73.9757799,True,ai,uncorroborated
FISHMAN BLOCK + DIAMOND BY CERITY PARTNERS,16830 VENTURA BLVD STE 400,ENCINO,CA,91436,34.158975,-118.500241,True,manual,verified
FISHMAN FINANCIAL,10 S LASALLE ST STE 3500,CHICAGO,IL,60603,41.881587,-87.6327454,True,ai,uncorroborated
FIT FOR LIFE,10 W 33RD ST STE 802,NEW YORK,NY,10001,40.7480451,-73.9859788,True,manual,verified
FITCHINGS,,,,,,,True,,
FIVE FORTY INVESTMENTS,,,,,,,True,,
FIVE RINGS CAPITAL,1550 BRYANT ST STE 200,SAN FRANCISCO,CA,94103,37.7675516,-122.4111749,True,ai,uncorroborated
FIVERR INC,8750 W SUNSET BLVD STE 200,WEST HOLLYWOOD,CA,90069,34.0914014,-118.3817438,True,ai,corroborated
FIVEW CAPITAL,,,,,,,True,,
FIZER BECK,,,,,,,True,,
FJECC,,,,,,,True,,
FLAGER & ASSOCIATES PC,101 E GLEN OAKS BLVD STE 300,GLENDALE,CA,91207,34.167939,-118.244241,True,ai,uncorroborated
FLAGER LAW PC,101 E GLEN OAKS BLVD STE 300,GLENDALE,CA,91207,34.167939,-118.244241,True,ai,uncorroborated
FLAGLER BANK,500 S RIDGEWOOD AVE,DAYTONA BEACH,FL,32114,29.2028956,-81.0190613,True,ai,corroborated
FLAGSTONE FOODS,323 N WASHINGTON AVE STE 400,MINNEAPOLIS,MN,55401,44.98487,-93.273179,True,ai,grounded
FLASTER GREENBERG,1810 CHAPEL AVE WEST STE 300,CHERRY HILL,NJ,08002,39.9344351,-75.0301837,True,ai,corroborated
FLAX & ASSOCIATES,3835 NW BOCA RATON BLVD STE 200,BOCA RATON,FL,33431,26.3789924,-80.0856914,True,ai,grounded
FLEMMING ZULALL & WILLIAMSON,,,,,,,True,,
FLEXPOINT FORD,55 E 52ND ST 26TH FLOOR,NEW YORK,NY,10055,40.7590841,-73.9736001,True,ai,corroborated
FLEXTG LLC,,,,,,,True,,
FLORIDA ATLANTIC UNIVERSITY,777 GLADES RD,BOCA RATON,FL,33431,26.3699059,-80.1063513,True,ai,corroborated
FLORIDA CANCER SPECIALISTS,3801 PGA BLVD STE 600,PALM BEACH GARDENS,FL,33410,26.8454311,-80.0930899,True,ai,corroborated
FLORIDA COALITION FOR CHILDREN,4000 HOLLYWOOD BLVD STE 265-S,HOLLYWOOD,FL,33021,26.0105598,-80.1836114,True,ai,corroborated
FLORIDA ENT ASSOCIATES,2001 S FLORIDA AVE STE 201,LAKELAND,FL,33803,28.019288,-81.961742,True,ai,corroborated
FLORIDA EYE,,,,,,,True,,
FLORIDA ORTHOPAEDIC ASSOCIATES,740 W PLYMOUTH AVE,DELAND,FL,32720,29.0423028,-81.317753,True,ai,grounded
FLORIDA PERINATAL ASSOCIATES,7300 N KENDALL DR STE 970,MIAMI,FL,33156,25.6873626,-80.3137953,True,ai,corroborated
FLORIDA-ISRAEL BUSINESS ACCELERATOR (FIBA),522 N HOWARD AVE,TAMPA,FL,33606,27.9490245,-82.4840318,True,manual,verified
FLOWERRE,,,,,,,True,,
FLOWERS PROPERTIES LLC,2255 E BROADWAY BLVD STE 120,TUCSON,AZ,85719,32.2215508,-110.9386189,True,ai,uncorroborated
FLOWMATION,,,,,,,True,,
FLP WEALTH ADVISORS OF RAYMO,,,,,,,True,,
FLUIDFORM BIO,100 FEDERAL ST,BOSTON,MA,02110,42.3550532,-71.055957,True,ai,corroborated
FLUXON,,,,,,,True,,
FLYERS WINGS AND GRILL,,,,,,,True,,
FLYWHEEL DYNAMIX INC,,,,,,,True,,
FLYWHEEL EVENTS LLC,7030 S YALE AVE STE E-100,TULSA,OK,74136,36.062013560704,-95.922134052316,True,manual,verified
FM COHEN PC,,,,,,,True,,
FMR,245 SUMMER ST,BOSTON,MA,02210,42.351446,-71.053095,True,ai,corroborated
FNF,601 RIVERSIDE AVE BLDG 5,JACKSONVILLE,FL,32204,30.318679285411,-81.675529893505,True,ai,grounded
FNF,7565 MISSION VALLEY RD STE 100,SAN DIEGO,CA,92108,32.779082540192,-117.1579334953,False,ai,grounded
FNF,4350 LA JOLLA VILLAGE DR STE 370,SAN DIEGO,CA,92122,32.873201003853,-117.211837735417,False,ai,grounded
FOCUS FINANCIAL,,,,,,,True,,
FOCUS MEDIA INC,2000 UNIVERSITY AVE W,SAINT PAUL,MN,55114,44.9583797,-93.1838963,True,ai,uncorroborated
FOCUS PARTNERS,1000 16TH ST NW STE 500,WASHINGTON,DC,20036,38.902649,-77.036647,True,ai,uncorroborated
FOCUS PARTNERS WEALTH,,,,,,,True,,
FOCUS PEDIATRICS,,,,,,,True,,
FOG CAPITAL,,,,,,,True,,
FOGELMAN,,,,,,,True,,
FOLEY & LARDNER LLP,777 E WISCONSIN AVE,MILWAUKEE,WI,53202,43.0381861,-87.902074,True,manual,verified
FOLLENDER LAW OFFICES,,RIDGEWOOD,NJ,07450,,,True,manual,verified
FOLLOW THE MOLECULE CNS LLC,,,,,,,True,,
FONA,8410 W BRYN MAWR AVE STE 400,CHICAGO,IL,60631,41.982003,-87.8377497,True,ai,uncorroborated
FONTHEIM INTERNATIONAL LLC,,,,,,,True,,
FOOD PARADE INC,,,,,,,True,,
FOODGRAPH,,,,,,,True,,
FOODIVERSITY,149 COMMONWEALTH DR,MENLO PARK,CA,94025,37.4811287,-122.1735243,True,ai,uncorroborated
FOOT HEALTHCARE,,,,,,,True,,
FOOT LOCKER,330 W 34TH ST,NEW YORK,NY,10001,40.7526738,-73.9950505,True,ai,grounded
FOOTHILLS LAND AND DEVELOPMENT,,,,,,,True,,
FORBES,499 WASHINGTON BLVD,JERSEY CITY,NJ,07310,40.726207,-74.0358573,True,ai,grounded
FORCE10 PARTNERS,,,,,,,True,,
FORD,WORLD HEADQUARTERS 1 AMERICAN RD,DEARBORN,MI,48126,42.330326,-83.187133,True,ai,grounded
FORD MOTOR COMPANY,1 AMERICAN RD,DEARBORN,MI,48126,42.3144573,-83.2100807,True,ai,grounded
FORDDIRECT,1 AMERICAN RD,DEARBORN,MI,48126,42.3144573,-83.2100807,True,ai,corroborated
FORDHARRISON,271 17TH ST NW STE 1900,ATLANTA,GA,30363,33.7914744,-84.3956881,True,ai,uncorroborated
FOREMAN FRIEDMAN,630 FIFTH AVE 26TH FLOOR,NEW YORK,NY,10111,40.758363609608,-73.977411287463,True,ai,uncorroborated
FOREST CITY ENTERPRISES,127 PUBLIC SQ STE 2000,CLEVELAND,OH,44114,41.5010209,-81.6938273,True,ai,corroborated
FOREST HILLS JEWISH CENTER,,,,,,,True,,
FOREST PARK FX LLC,,,,,,,True,,
FORM & FUNCTION,,,,,,,True,,
FORMAN CAPITAL,,,,,,,True,,
FORSIGHT INC,2355 N HARBOR DR STE 400,SAN DIEGO,CA,92101,32.727638,-117.1794428,True,ai,corroborated
FORSYTHE TECHNOLOGIES,1700 LAKE COOK RD STE 400,DEERFIELD,IL,60015,42.1528574,-87.870569,True,ai,corroborated
FORT LAUDERDALE PAIN MEDICINE,,,,,,,True,,
FORT MYER CONSTRUCTI,,,,,,,True,,
FORTESCUE,FORTESCUE METALS GROUP 500 W 2ND ST STE 900,AUSTIN,TX,78701,30.270569,-97.742589,True,ai,uncorroborated
FORTIFIED PROPERTIES,,,,,,,True,,
FORTITUDE RE,10 EXCHANGE PL STE 2210,JERSEY CITY,NJ,07302,40.7166739,-74.0333081,True,ai,grounded
FORTRESS INVESTMENT GROUP,1345 AVE OF THE AMERICAS,NEW YORK,NY,10105,40.7629997,-73.9790535,True,ai,grounded
FORTUNE CAPITAL PARTNERS INC,,,,,,,True,,
FORTUNE FINANCIAL LLC,,,,,,,True,,
FORTUNOFF FINE JEWLERY,,,,,,,True,,
FOSTER CREW,40 EXCHANGE PL STE 1404,NEWARK,NJ,07102,40.735659,-74.173605,True,ai,uncorroborated
FOSTER DALE ARCHITECTS INC,1201 N MARKET ST STE 1000,WILMINGTON,DE,19801,39.74748,-75.546641,True,ai,uncorroborated
FOSTER GARVEY PC,1111 THIRD AVE STE 3000,SEATTLE,WA,98101,47.606421567088,-122.334846542443,True,ai,grounded
FOSTER GRAHAM,100 PINE ST STE 1250,SAN FRANCISCO,CA,94111,37.792607,-122.3990001,True,ai,uncorroborated
FOUNDATION BLUE MEDIA,,,,,,,True,,
FOUNDATION FOR DEFENSE OF DEMOCRACIES,1800 M ST NW,WASHINGTON,DC,20036,38.905139,-77.041939,True,manual,verified
FOUNDERS FINANCIAL,201 N TRYON ST,CHARLOTTE,NC,28202,35.2284562,-80.8422815,True,ai,uncorroborated
FOUNDRY TECHNOLOGIES INC,855 W PEACHTREE ST NE STE 500,ATLANTA,GA,30308,33.7966848,-84.3877865,True,ai,uncorroborated
FOUR SEASONS,2000 AVE OF THE STARS 2ND FLOOR,LOS ANGELES,CA,90067,34.0583138,-118.4146758,True,ai,uncorroborated
FOUR SQUARED VENTURES LLC,,,,,,,True,,
FOURPOINT ENERGY,100 ST PAUL ST STE 400,DENVER,CO,80206,39.7183924,-104.9506902,True,ai,grounded
FOURSQUARE CORPORATION,50 W 23RD ST 8TH FLOOR,NEW YORK,NY,10010,40.7420624,-73.9918122,True,ai,grounded
FOURTEEN-K JEWELRY,,,,,,,True,,
FOX,1211 AVE OF THE AMERICAS,NEW YORK,NY,10036,40.7586695,-73.9823756,True,ai,corroborated
FOX CHIROPRACTIC SPORTS REHAB,,,,,,,True,,
FOX CREATIVE,,,,,,,True,,
FOX ENTERTAINMENT,10201 W PICO BLVD,LOS ANGELES,CA,90064,34.0508234,-118.4110001,True,ai,corroborated
FOX NEWS,1211 AVE OF THE AMERICAS,NEW YORK,NY,10036,40.7586695,-73.9823756,True,ai,grounded
FOX ROTHSCHILD,2001 MARKET ST STE 1700,PHILADELPHIA,PA,19103,39.953640276123,-75.173240235972,True,ai,grounded
FOX ROTHSCHILD,101 PARK AVE 17TH FLOOR,NEW YORK,NY,10178,40.750862389301,-73.978505362958,False,ai,grounded
FOX ROTHSCHILD,49 MARKET ST,MORRISTOWN,NJ,07960,40.795453339644,-74.483024848621,False,ai,grounded
FOX ROTHSCHILD,212 CARNEGIE CENTER STE 400,PRINCETON,NJ,08540,40.317979588303,-74.645908855041,False,ai,grounded
FOX/TUBI,1211 AVE OF THE AMERICAS,NEW YORK,NY,10036,40.7586695,-73.9823756,True,ai,corroborated
FOXY LADY BOUTIQUE,,,,,,,True,,
FPC,,,,,,,True,,
FPFX TECHNOLOGIES,,,,,,,True,,
FPL,700 UNIVERSE BLVD,JUNO BEACH,FL,33408,26.858251,-80.060074,True,ai,corroborated
FPMG,,,,,,,True,,
FRAGILEPAK,2270 CORPORATE CIR STE 220,HENDERSON,NV,89074,36.0266809,-115.0899676,True,ai,grounded
FRAGNER SEIFERT PACE & MINTZ LLP,200 S WACKER DR STE 3100,CHICAGO,IL,60606,41.881259,-87.637452,True,ai,uncorroborated
"FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP",1 BATTERY PARK PLAZA,NEW YORK,NY,10004,40.689805,-74.017389,True,manual,verified
FRANCO PARTNERS,,,,,,,True,,
FRANK UHLHORN CONST,,,,,,,True,,
FRANKEL ASSOCIATES,800 WILSHIRE BLVD STE 600,SANTA MONICA,CA,90401,34.0192694,-118.4981403,True,ai,uncorroborated
"FRANKEL, REED, EVANS",,,,,,,True,,
FRANKFORD TORRESDALE HOSPITAL,1600 PASTORIUS ST,PHILADELPHIA,PA,19111,40.0632461,-75.1568482,True,ai,corroborated
FRANKLIN ADVISORS,32300 NORTHWESTERN HWY STE 215,FARMINGTON HILLS,MI,48334,42.5246524,-83.3488967,True,manual,verified
FRANKLIN COUNTY,373 S HIGH ST,COLUMBUS,OH,43215,39.9541515,-82.999624,True,ai,corroborated
FRANKLIN D. NIVER DMD PROF CORP,,,,,,,True,,
FRANKLIN RESOURCES,ONE FRANKLIN PKWY,SAN MATEO,CA,94403,37.5407466,-122.294915,True,ai,grounded
FRANKLIN RESOURCES,101 JOHN F KENNEDY PKWY 3RD FLOOR,SHORT HILLS,NJ,07078,40.742074813964,-74.363198477413,False,ai,grounded
FRANKLIN STREET REAL ESTATE,1311 N WESTSHORE BLVD STE 200,TAMPA,FL,33607,27.9544505,-82.5240464,True,ai,grounded
"FRANKLIN WEINRID, RUDELLE VASSALO",,,,,,,True,,
FRANKMAN LAW,,,,,,,True,,
FRASCONA JOINER,,,,,,,True,,
FRAZIER HEALTHCARE,601 UNION ST STE 3200,SEATTLE,WA,98101,47.6099437,-122.3325277,True,ai,grounded
FRAZIER HEALTHCARE,425 PARK AVE STE 3402,NEW YORK,NY,10022,40.760462897898,-73.971497919175,False,ai,grounded
FRED KATZ AGENCY,,,,,,,True,,
FRED M. RABINOWITZ DDS,,,,,,,True,,
FREDDIE MAC,8200 JONES BRANCH DR,MCLEAN,VA,22102,38.9342888,-77.1776327,True,ai,uncorroborated
