employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,address_source,address_trust
CIBC BANK USA,120 S LaSalle St,Chicago,IL,60603,41.8803154,-87.6328136,ai,corroborated
CIC PLUS,7321 Ridgeway Ave,Skokie,IL,60076,42.0140288,-87.7223548,ai,corroborated
CICCIO AND DEMAREST,"1 Pondfield Road, Suite 304",Bronxville,NY,10708,40.9421501,-73.8345554,ai,grounded
CIENA,7035 Ridge Road,Hanover,MD,21076,39.1923083,-76.7001299,ai,grounded
CIM GROUP,"10880 Wilshire Boulevard, Suite 1800",Los Angeles,CA,90024,34.058617,-118.4432767,ai,corroborated
CINCINNATI KOLLEL,1819 Sutton Avenue,Cincinnati,OH,45237,39.0935143,-84.3890379,ai,corroborated
CIR,,,,,,,,
CIRCLE K,1130 W Warner Road,Tempe,AZ,85284,33.3346361,-111.9577753,manual,verified
CISA,1888 Columbia Pike,Arlington,VA,22204,38.8652323,-77.0769883,ai,uncorroborated
CISCO,170 West Tasman Dr,San Jose,CA,95134,37.4083584,-121.9540909,ai,corroborated
CISCO SYSTEMS,170 West Tasman Drive,San Jose,CA,95134,37.4083584,-121.9540909,ai,grounded
CITADEL,830 Brickell Plaza,Miami,FL,33131,25.7660038,-80.1924327,ai,grounded
CITI,388 Greenwich St,New York,NY,10013,40.7206458,-74.0111721,ai,grounded
CITIBANK,388 Greenwich Street,New York,NY,10013,40.7206458,-74.0111721,ai,grounded
CITIGROUP SMITH BARNEY,388 Greenwich Street,New York,NY,10013,40.7206458,-74.0111721,ai,uncorroborated
CITIWORKS,2701 East Grauwyler Road,Irving,TX,75061,32.8307903,-96.9055257,ai,uncorroborated
CITIZENS,1 Citizens Plaza,Providence,RI,02903,41.8274821,-71.4107573,ai,uncorroborated
CITIZENS DISABILITY LLC,,,,,,,,
CITRIN COOPERMAN,529 Fifth Avenue,New York,NY,10017,40.9190454,-73.8055763,ai,corroborated
CITRINFINANCIAL,3005 NE Quayside Lane,Miami,FL,33138,25.8729936,-80.1677842,ai,grounded
CITROMAX GROUP,444 Washington Ave,Carlstadt,NJ,07072,40.8216728,-74.0618305,ai,grounded
CITY AND COUNTY OF DENVER,"1437 Bannock Street, Room 350",Denver,CO,80202,39.7390471,-104.9903453,ai,corroborated
CITY AND COUNTY OF SAN FRANCISCO,"City Hall, 1 Dr. Carlton B. Goodlett Place",San Francisco,CA,94102,37.7792929,-122.4192601,ai,corroborated
CITY CLUB APTS,,,,,,,,
CITY FIRST MORTGAGE,6100 Hollywood Blvd #305,Hollywood,FL,33024,26.0092938,-80.2101326,ai,grounded
CITY FIRST MTG,1401 I Street NW,Washington,DC,20005,38.9014997,-77.0322614,ai,uncorroborated
CITY MERCHANDISE,,,,,,,,
CITY OF HOPE,1500 E Duarte Rd,Duarte,CA,91010,34.1279634,-117.9730617,ai,corroborated
CITY OF HOPE MEDICAL GROUP,1500 East Duarte Road,Duarte,CA,91010,34.1303944,-117.972022,ai,corroborated
CITY OF LOS ANGELES,200 N. Spring Street,Los Angeles,CA,90012,34.0536961,-118.2429212,ai,corroborated
CITY OF PALM BEACH GARDENS,10500 North Military Trail,Palm Beach Gardens,FL,33410,26.833183,-80.1045675,ai,corroborated
CITY OF PHARR,118 South Cage Boulevard,Pharr,TX,78577,26.1940186,-98.1842587,ai,corroborated
CITY OF PHILADELPHIA,"City Hall, 1400 John F. Kennedy Blvd",Philadelphia,PA,19107,39.9527237,-75.1635262,ai,corroborated
CITY OF PROVIDENCE,25 Dorrance Street,Providence,RI,02903,41.8240345,-71.4129047,ai,corroborated
CITY OF SAN DIEGO,202 C Street,San Diego,CA,92101,32.7174385,-117.1633851,ai,corroborated
CITY OF TAMARAC,7525 NW 88th Ave,Tamarac,FL,33321,26.2137877,-80.2728141,ai,corroborated
CITY OF TRUSSVILLE,"One Trussville Town Center, 5211 Trussville Crossing Pkwy, Suite 101",Trussville,AL,35173,33.6196266,-86.6084342,ai,corroborated
CITY OF WEST UNIVERSITY,3800 University Blvd,West University Place,TX,77005,29.7149471,-95.4377124,ai,corroborated
CITY OFNY,"City Hall, 1 Centre Street",New York,NY,10007,40.7127281,-74.0060152,ai,corroborated
CITY PAPER CO,,,,,,,,
CITYPAC,,,,,,,,
CIVIC ENTERTAINMENT GROUP,,,,,,,,
CJ PARK AND ASSOCIATES,,,,,,,,
CJDS,"5007 Providence Road, Building E",Charlotte,NC,28226,35.2272086,-80.8430827,ai,grounded
CJFS,1817 Cleveland Avenue SW,Massillon,OH,44646,40.7965119,-81.5231597,ai,uncorroborated
CJSSF,,,,,,,,
CKP INSURANCE LLC,"200 W 41st St, 20th Floor",New York,NY,10036,40.755372,-73.9877527,ai,uncorroborated
CLAIMS QUESTION,,,,,,,,
CLAREMONT MCKENNA COLLEGE,850 Columbia Ave,Claremont,CA,91711,34.10211,-117.7113612,ai,corroborated
CLARITIZE,,,,,,,,
CLARITY CAPITAL,,,,,,,,
CLARITY MANAGEMENT,"11601 Wilshire Blvd, Suite 1600",Los Angeles,CA,90025,34.0510414,-118.4599151,manual,verified
CLARITY PARTNERS,"11601 Wilshire Blvd, Suite 1600",Los Angeles,CA,90025,34.0510414,-118.4599151,ai,grounded
CLARIVATE,225 Franklin Street,Boston,MA,02110,42.356128,-71.0539472,ai,corroborated
CLARK & WEINSTOCK,225 Franklin St,Boston,MA,02110,42.356128,-71.0539472,ai,uncorroborated
CLARKSONS,75 E 55th St,New York,NY,10022,40.7607354,-73.9720751,ai,uncorroborated
CLAROTY,"259 West 30th Street, 10th Floor",New York,NY,10001,40.7496553,-73.9944346,ai,corroborated
CLASS CHOREOGRAPHY,,,,,,,,
CLASSIQ,,,,,,,,
CLASY APP,,,,,,,,
CLAYGATE ADVISORS,,,,,,,,
CLEAN CURRENTS INC,"8403 Colesville Rd, Suite 310",Silver Spring,MD,20910,38.9948954,-77.0317251,ai,grounded
CLEAN MY STEEL,,,,,,,,
"CLEAN SKIES, USA","1000 Connecticut Avenue NW, Suite 700",Washington,DC,20036,38.9029008,-77.0398552,ai,uncorroborated
CLEAR ALLERGY,,,,,,,,
CLEAR CONENCTION,,,,,,,,
CLEARCOVER INC,"33 W Monroe St, Suite 1350",Chicago,IL,60603,41.8802657,-87.6288269,ai,grounded
CLEARLIGHT PARTNERS,"100 Bayview Circle, Suite 5000",Newport Beach,CA,92660,33.6559469,-117.8678305,ai,grounded
CLEARLYDERM,"33 East 33rd Street, 12th Floor",New York,NY,10016,40.7469854,-73.9826206,ai,grounded
CLEARWATER CARDIOVASC CONSULTANTS,455 Pinellas St,Clearwater,FL,33756,27.9519007,-82.8021925,ai,corroborated
CLEARY GOTTLIEB,"One Liberty Plaza, 165 Broadway",New York,NY,10006,40.7097367,-74.010857,ai,grounded
CLEARY GOTTLIEB STEEN & HAMILTON,"One Liberty Plaza, 25th Floor",New York,NY,10006,40.7097367,-74.010857,ai,corroborated
CLEERLY,"1099 18th Street, Suite 2860",Denver,CO,80202,39.749667,-104.9924601,ai,grounded
CLEMENTS BLANCHARD HOLMES,,,,,,,,
CLERESTORY PROPERTIES,"1101 Wootton Parkway, Suite 700",Rockville,MD,20852,39.0681175,-77.1562483,ai,uncorroborated
CLEVELAND CLINIC,9500 Euclid Avenue,Cleveland,OH,44195,41.5035186,-81.6156815,ai,corroborated
CLEVELAND CLINIC FOUNDATION,9500 Euclid Ave,Cleveland,OH,44195,41.5025528,-81.6209195,ai,corroborated
CLEVELAND REAL ESTATE SERVICES INC,,,,,,,,
CLEVELAND VA MEDICAL CENTER,10701 East Boulevard,Cleveland,OH,44106,41.513757,-81.6140627,ai,corroborated
CLICKIT INC,,,,,,,,
CLIFFORD CHANCE,31 West 52nd Street,New York,NY,10019,40.7608799,-73.9780399,ai,corroborated
CLIFFSIDE REHAB,119-19 Graham Court,Flushing,NY,11354,40.7654301,-73.8174291,ai,grounded
CLIMATE SOLUTIONS,"2121 4th Ave, Suite 2400",Seattle,WA,98121,47.6141075,-122.3425001,ai,corroborated
CLINICAL RESEARCH INSTITUTE OF MI,"3001 W Big Beaver Rd, Suite 100",Troy,MI,48084,42.5601962,-83.1887458,ai,corroborated
CLIVE CHRISTIAN,,,,,,,,
CLK PROPERTIES,,,,,,,,
CLOUDBASE SERVICES,,,,,,,,
CLOUDERA,"5470 Great America Parkway, Suite 200",Santa Clara,CA,95054,37.4125777,-121.978494,ai,grounded
CLOUDFLARE,101 Townsend St,San Francisco,CA,94107,37.7803446,-122.390613,ai,uncorroborated
CLOVER CAPITAL & ACTIVE INVESTMENT,14510 NE 20th St Suite 205,Bellevue,WA,98007,47.6294219,-122.1465573,ai,uncorroborated
CLTC,,,,,,,,
CM CAPITAL,,,,,,,,
CMA MANAGEMENT,,,,,,,,
CMC PROPERTIES,10925 Reed Hartman Hwy,Cincinnati,OH,45242,39.2508015,-84.3799824,ai,corroborated
CME GROUP,"CME Center, 20 South Wacker Drive",Chicago,IL,60606,41.8755616,-87.6244212,manual,verified
CMI,215 East 50th Street,New York,NY,10022,40.7557187,-73.9702856,ai,grounded
CMR RECRUITING,,,,,,,,
CMS,7500 Security Boulevard,Baltimore,MD,21244,39.3179559,-76.7639866,ai,uncorroborated
CNEI,,,,,,,,
CNI,"1003 North Glebe Road, Suite 900",Arlington,VA,22201,38.8822464,-77.1157707,ai,uncorroborated
CO FOUNDATION,,,,,,,,
CO VIEW CAPITAL,,,,,,,,
COALITION FOR COMPASSIONATE CARE,1 Chelsea Street,Boston,MA,02128,42.370048,-71.038467,ai,uncorroborated
COALITION FOR RESPONSIBLE COMMUNITY DEVELOPMENT,"4121 Whittier Blvd, Suite 205",Los Angeles,CA,90023,34.0240229,-118.1820028,ai,corroborated
COALITION INVESTMENT PARTNERS,750 Lexington Ave,New York,NY,10022,40.7625148,-73.9685564,ai,corroborated
COALRIDGE MENNONITE CHURCH,,,,,,,,
COAST,,,,,,,,
COASTAL MAINE REALTY,15 Main Street,Camden,ME,04843,44.2101033,-69.0646196,ai,corroborated
COASTAL RADIATION ONCOLOGY,,,,,,,,
COASTER MOBILITY,,,,,,,,
COAXISLEADERSHIP,,,,,,,,
COBBS CAPITAL,,,,,,,,
COCKROACH LABS,6 Canal Park,Cambridge,MA,02141,42.3693105,-71.0745959,ai,uncorroborated
COEURELUS CLINICAL SCIENCES,"1515 Riverbend Road, Suite 200",Durham,NC,27713,35.996653,-78.9018053,ai,uncorroborated
COFESTCO,,,,,,,,
COGNIZANT,300 Frank W Burr Blvd,Teaneck,NJ,07666,40.8734797,-74.0067601,ai,uncorroborated
COHEN & FEELEY,,,,,,,,
COHEN & FITCH LLP,"470 Atlantic Ave, 4th Floor",Brooklyn,NY,11217,40.6859089,-73.9824423,ai,corroborated
COHEN & MALAD LLP,"111 Monument Circle, Suite 2600",Indianapolis,IN,46204,39.7691068,-86.1570348,ai,corroborated
COHEN & STEERS,"280 Park Avenue, 8th Floor",New York,NY,10017,40.7564853,-73.975049,ai,corroborated
COHEN BROWN MANAGEMENT,"1 North Lexington Avenue, Suite 200",White Plains,NY,10601,41.03223,-73.7733539,ai,uncorroborated
COHEN FOUNDATION,"475 Park Avenue South, 5th Floor",New York,NY,10016,40.7453824,-73.9819834,ai,corroborated
COHEN HILL BOND AGENCY,,,,,,,,
COHEN HOLDINGS,,,,,,,,
COHEN INVESTMENTS,,,,,,,,
COHEN LERNER & RABINOVITZ PC,"420 Lexington Avenue, Suite 2400",New York,NY,10170,40.7524677,-73.9757799,ai,uncorroborated
COHEN RECYCLING,3500 Del Amo Boulevard,Torrance,CA,90503,33.848493,-118.347296,ai,uncorroborated
COHEN SCHATZ ASSOC,,,,,,,,
COHEN SCHATZ ASSOCIATES,,,,,,,,
COHN COHN & SINGER,"200 Park Avenue, Suite 1700",New York,NY,10166,40.7536135,-73.97658,ai,uncorroborated
COHNE RAPPORT & SEGAL,"605 Third Avenue, 33rd Floor",New York,NY,10158,40.8088444,-73.9303577,ai,uncorroborated
COIN-O-MATIC,1250 Bayshore Highway,Burlingame,CA,94010,37.5927026,-122.362132,ai,uncorroborated
COINBASE,300 Park Avenue,San Jose,CA,95110,37.3292077,-121.894672,ai,corroborated
COL U MED CTR,630 West 168th Street,New York,NY,10032,40.8405084,-73.9402259,ai,uncorroborated
COLBURN SCHOOL OF THE PERFORMING AR,200 South Grand Avenue,Los Angeles,CA,90012,34.0538399,-118.2496712,ai,corroborated
COLBY COLLEGE + BETH ISRAEL CONGREGATION,,,,,,,,
COLD CHAIN TECHNOLOGIES,135 Constitution Boulevard,Franklin,MA,02038,42.0541784,-71.3952159,ai,grounded
COLDWELL BANKER REALTY,175 Park Ave,Madison,NJ,07940,40.770568,-74.423504,ai,grounded
COLE RAYLOR BANK,,,,,,,,
COLE SCHOTZ PC,25 Main Street,Hackensack,NJ,07601,40.8791642,-74.044443,ai,corroborated
COLFAX LAW OFFICE,301 North Garfield Avenue,Pierre,SD,57501,44.365718,-100.316833,ai,uncorroborated
COLGATE UNIVERSITY,13 Oak Drive,Hamilton,NY,13346,42.8165618,-75.5325514,ai,corroborated
COLL CAPITAL,,,,,,,,
COLLEEN HANABUSA AAL LLLC,"120 Pauoa Road, Suite 200",Honolulu,HI,96821,21.3215412,-157.8385456,ai,corroborated
COLLEGE BOUND CONSULTANTS LLC,,,,,,,,
COLLEGE HUNKS ATLANTA,"1225 West Peachtree Street NW, Suite 2030",Atlanta,GA,30309,33.7875044,-84.3877022,ai,corroborated
COLLEGE OF MARIN,835 College Avenue,Kentfield,CA,94904,37.955798,-122.5506398,ai,corroborated
COLLEGE OF NOTRE DAME,1500 Ralston Avenue,Belmont,CA,94002,37.515251,-122.283712,ai,uncorroborated
COLLIERS,"601 Union Street, Suite 4800",Seattle,WA,98101,47.6099437,-122.3325277,ai,grounded
COLLINS&LACY,"1330 Lady Street, Suite 100",Columbia,SC,29201,34.0033272,-81.0311955,ai,corroborated
COLOGNE LIFE REINSURANCE,,,,,,,,
COLORADO KIDNEY CARE,"2695 South Colorado Boulevard, Suite 450",Denver,CO,80222,39.6677749,-104.9410775,ai,corroborated
COLORADO REHAB AND OC MED PLLC,,,,,,,,
COLRICH,"444 West Beech Street, Suite 300",San Diego,CA,92101,32.721237,-117.167108,ai,grounded
COLTER LEWIS INVESTMENT PARTNERS,"22 West Putnam Avenue, Second Floor",Greenwich,CT,06830,41.0264862,-73.6284598,ai,grounded
COLUMBIA,1166 Avenue of the Americas,New York,NY,10036,40.7568778,-73.9820036,ai,corroborated
COLUMBIA BUSINESS SCHOOL,"3022 Broadway, Uris Hall",New York,NY,10027,40.7127281,-74.0060152,ai,corroborated
COLUMBIA COMPANIES,"1 Greenway Plaza, Suite 850",Houston,TX,77046,29.7322584,-95.4324621,ai,grounded
COLUMBIA DOCTORS,177 Fort Washington Ave,New York,NY,10032,40.8414043,-73.9428366,ai,corroborated
COLUMBIA PEDIATRIC DENTISTRY,,,,,,,,
COLUMBIA PRESBYTERIAN MEDICAL CENTER,630 W 168th St,New York,NY,10032,40.8419836,-73.9436897,ai,corroborated
COLUMBIA UNIVERSITY,"116th St & Broadway, Low Memorial Library",New York,NY,10027,40.7127281,-74.0060152,ai,corroborated
COLUMBIA UNIVERSITY IRVING MEDICAL CENTER,630 West 168th Street,New York,NY,10032,40.8405084,-73.9402259,manual,verified
COLUMBINE HEALTH PLAN,"7601 East Orchard Road, Suite 101",Greenwood Village,CO,80111,39.6096405,-104.9006993,ai,corroborated
COLUMBUS,,,,,,,,
COLUMBUS CONSULTING GROUP,"16 Madison Square West, Suite 1211",New York,NY,10010,40.7127281,-74.0060152,ai,grounded
COLUMBUS JEWISH FEDERATION,1175 College Ave,Columbus,OH,43209,39.945107,-82.935234,ai,corroborated
COLUMBUS PACIFIC DEVELOPMENT,"601 California St, Suite 1000",San Francisco,CA,94108,37.7923304,-122.4048333,ai,corroborated
COLUMBUS RADIOLOGY,"2055 E Broad St, Suite 169",Columbus,OH,43209,39.9686179,-82.9452716,ai,corroborated
COLUMBUS SQUARE MANAGEMENT,"111 Huntington Ave, 14th Floor",Boston,MA,02199,42.3464784,-71.0814676,ai,uncorroborated
COMBINED ARMS,,,,,,,,
COMCAST,"One Comcast Center, 1701 John F Kennedy Blvd",Philadelphia,PA,19103,39.9527237,-75.1635262,ai,grounded
"COMITER, SINGER, BASEMAN & BRAUN","100 Jericho Quadrangle, Suite 120",Jericho,NY,11753,40.7891193,-73.5539158,ai,uncorroborated
COMM-CLUB WIRELESS PHONES,,,,,,,,
COMMAND MARKETING INNOVATIONS,70 Outwater Lane,Garfield,NJ,07026,40.8809027,-74.115576,manual,verified
COMMAND PERFORMANCE,,,,,,,,
COMMERCE BANK,100 Chestnut St,Saint Louis,MO,63102,38.630272,-90.207442,ai,uncorroborated
COMMERCIAL METALS COMPANY,1990 West North Loop Boulevard,Irving,TX,75038,32.8295183,-96.9442177,ai,corroborated
COMMON STRATEGIC CAPITAL,"335 Madison Ave, Suite 6A",New York,NY,10017,40.7536221,-73.9780733,ai,grounded
COMMONWEAL VENTURES MANAGEMENT LLC,"1 Market Street, Suite 400",San Francisco,CA,94105,37.79382,-122.3948144,ai,uncorroborated
COMMONWEALTH BENEFITS,"100 Cambridge Street, Suite 1600",Boston,MA,02114,42.360981,-71.0626238,ai,uncorroborated
COMMONWEALTH CAPITAL VENTURES,,,,,,,,
COMMUNICARE,10123 Alliance Road,Blue Ash,OH,45242,39.245318,-84.3804624,manual,verified
COMMUNITY ACTIVIST,,,,,,,,
COMMUNITY CARE ADHC,,,,,,,,
COMMUNITY COLLEGE OF AURORA,16000 E Centretech Pkwy,Aurora,CO,80011,39.7198806,-104.8033578,ai,corroborated
COMMUNITY DEVELOPMENT GROUP,,,,,,,,
COMMUNITY FOUNDATION OF BROWARD,"100 W. Cypress Creek Road, Suite 700",Fort Lauderdale,FL,33309,26.203181,-80.149347,ai,corroborated
COMMUNITY HOLDINGS CORP,1000 Elm St,Manchester,NH,03101,42.9927397,-71.4643389,ai,uncorroborated
COMMUNITY SECURITY INITIATIVE,,,,,,,,
COMMUNITY VOLUNTEER LEADER,,,,,,,,
COMMVAULT SYSTEMS INC,3 West Hillside Avenue,Tinton Falls,NJ,07724,40.2890734,-74.0927967,ai,corroborated
COMPASS,"90 5th Ave, 2nd Floor",New York,NY,10011,40.7362844,-73.9936689,ai,corroborated
COMPASS BEVERLY HILLS,"150 South Rodeo Drive, Suite 100",Beverly Hills,CA,90212,34.0657561,-118.4009856,ai,corroborated
COMPASS BUSINESS SOLUTIONS INC,,,,,,,,
COMPASS HEALTH CENTER,,,,,,,,
COMPASS LEXECON,"555 12th St NW, Suite 501",Washington,DC,20004,38.8967216,-77.0275548,ai,grounded
COMPASS TRANSPORTATION AND TECHNOLOGY,,,,,,,,
COMPASSION VENTURES,,,,,,,,
COMPATICO,,,,,,,,
COMPLETE SUPPLY,,,,,,,,
COMPONENT RESEARCH CO,260-A San Antonio Cir,Mountain View,CA,94040,37.4075646,-122.1086308,ai,uncorroborated
COMPREHENSIVE COMMERCIAL MANAGEMENT,,,,,,,,
COMPREHENSIVE PAIN MANAGEMENT,,,,,,,,
COMPUTER CONSULTANT,,,,,,,,
COMVEST PARTNERS,"2925 Richmond Avenue, Suite 1500",Houston,TX,77098,29.733355,-95.4226478,ai,uncorroborated
CONCORD ADVICE,,,,,,,,
CONCORD COMPANIES,"449 S Beverly Drive, 1st Floor",Beverly Hills,CA,90212,34.0624658,-118.3987727,ai,grounded
CONCORDIA PROPERTIES,11601 Wilshire Blvd,Los Angeles,CA,90025,34.0510414,-118.4599151,ai,uncorroborated
CONFETT,,,,,,,,
CONG B'NAI ISRAEL,,,,,,,,
CONG. NER TAMID,,,,,,,,
CONG. YETEV LEV,152 RODNEY STREET,BROOKLYN,NY,11211,40.7046917,-73.9602564,manual,verified
CONGREGATION ADAT ARI EL,12020 Burbank Blvd,Valley Village,CA,91607,34.1720913,-118.3897988,ai,grounded
CONGREGATION B'NAI AMOONA,324 S Mason Rd,Creve Coeur,MO,63141,38.6510778,-90.4773865,ai,corroborated
CONGREGATION B'NAI ISRAEL,,,,,,,,
CONGREGATION BETH EL,,,,,,,,
CONGREGATION BETH SHOLOM,,,,,,,,
CONGREGATION BNAI YESHURUN,1876 Broad St,Bloomfield,NJ,07003,40.837233,-74.1845983,ai,corroborated
CONGREGATION BROTHERS OF ISRAEL,,,,,,,,
CONGREGATION EMANU-EL,2 Lake Street,San Francisco,CA,94118,37.7870258,-122.4600787,ai,grounded
CONGREGATION KEHILATH JESHURUN,125 E 85th St,New York,NY,10028,40.7791708,-73.956706,ai,corroborated
CONGREGATION KEHILLAH,,,,,,,,
CONGREGATION OHEV SHALOM,,,,,,,,
CONGREGATION SHAAREI TEFILLAH,46 Dunham Road,Newton Centre,MA,02459,42.3300309,-71.1948774,ai,corroborated
CONGREGATION SHAAREY TIKVAH,26811 Fairmount Blvd,Beachwood,OH,44122,41.4863955,-81.4878976,manual,verified
CONGREGATION SHAAREY ZEDEK,,,,,,,,
CONGREGATION TIKVAT JACOB,1829 N Sepulveda Blvd,Manhattan Beach,CA,90266,33.8917369,-118.3960781,ai,corroborated
CONGREGATION TORAH OHR,,,,,,,,
CONGRESS AUTO INSURANCE AGENCY,,,,,,,,
CONKRETA GROUP,701 Brazos St,Austin,TX,78701,30.268971,-97.7406286,ai,uncorroborated
CONNECT NOW INC,34 Washington Street,Wellesley,MA,02481,42.3246723,-71.261077,ai,corroborated
CONNECTICUT COLLEGE,270 Mohegan Ave,New London,CT,06320,41.3791334,-72.1065306,ai,uncorroborated
CONNECTICUT GI,,,,,,,,
CONRAD N. HILTON FOUNDATION,1 Dole Drive,Westlake Village,CA,91362,34.151961,-118.804963,ai,grounded
CONROY COMMERCIAL,5877 West 3rd Street,Los Angeles,CA,90036,34.0694312,-118.3481554,manual,verified
CONSOLIDATED AGENCY PARTNERS,,,,,,,,
CONSOLIDATED CCS,,,,,,,,
CONSOLIDATED INVESTMENT GROUP,7331 S Alton Way Ste 100,Centennial,CO,80112,39.5882123,-104.883837,ai,corroborated
CONSOLIDATED TRADING,141 W Jackson Blvd,Chicago,IL,60604,41.8778674,-87.6320417,ai,corroborated
CONSORTIUM BRAND PARTNERS,200 Park Ave,New York,NY,10166,40.7536135,-73.97658,ai,corroborated
CONSTELLATION,300 Exelon Way,Baltimore,MD,21202,39.2908816,-76.610759,ai,corroborated
CONSTRUCTION MANAGEMENT ASSOCIATES,,,,,,,,
CONSULTANTS IN DIAGNOSTIC IMAGING,,,,,,,,
CONSULTING SOLUTIONS,,,,,,,,
CONSUMER CELLULAR INC,"9th Floor, 200 SW Market Street",Portland,OR,97201,45.5202471,-122.674194,ai,uncorroborated
CONSUMER TESTING LABS,2601 Otis Corley Dr,Bentonville,AR,72712,36.3464286,-94.1912838,manual,verified
CONSUMERLAB.COM LLC,"420 Lexington Avenue, Suite 332",New York,NY,10170,40.7524677,-73.9757799,ai,corroborated
CONTEMPO FLOOR COVERING,,,,,,,,
CONTEMPORARY INSURANCE SERVICES INC,"One Wicker Park, 1435 N Milwaukee Ave, Suite 320",Chicago,IL,60622,41.8755616,-87.6244212,ai,uncorroborated
CONTESSA HEALTH,"600 West Cummings Park, Suite 2200",Woburn,MA,01801,42.4964493,-71.1267844,ai,uncorroborated
CONTINENTAL CABLEVISION,1 State St,New York,NY,10004,40.7025642,-74.0131538,ai,uncorroborated
CONTINENTAL COMPUTERS,,LOS ANGELES,CA,90001,,,,
CONTINENTAL DIAMOND,10 E 40th St,New York,NY,10016,40.7517726,-73.9810488,ai,uncorroborated
CONTINENTAL ENVELOPE,100 Newark Pompton Turnpike,Pompton Plains,NJ,07444,40.9729104,-74.2967962,ai,uncorroborated
CONTINENTAL REALTY CORPORATION,"1427 Clarkview Rd, Suite 500",Baltimore,MD,21209,39.3781959,-76.6550934,ai,corroborated
CONTINENTAL SERVICES,3600 N. St. Augustine Road,Jacksonville,FL,32207,30.3262247,-81.6579179,ai,uncorroborated
CONTINENTAL VENTURES,,,,,,,,
CONTRACTOR,,,,,,,,
CONTRARIAN CAPITAL,"250 West 57th Street, Suite 2400",New York,NY,10107,40.7663399,-73.9826892,ai,corroborated
CONVERMAT,,,,,,,,
COOK CHILDREN'S HOSPITAL,801 7th Avenue,Fort Worth,TX,76104,32.7365621,-97.3411127,ai,corroborated
COOKIES,,,,,,,,
COOLEY LLP,3175 Hanover Street,Palo Alto,CA,94304,37.4144823,-122.1415005,ai,corroborated
COOMUNITY DEVELOPMENT VENTURE CAPITAL,,,,,,,,
COOPER & DUNHAM,"30 Rockefeller Plaza, 9th Floor",New York,NY,10112,40.7591232,-73.979556,ai,uncorroborated
COOPER COMMUNICATIONS,245 West 29th Street,New York,NY,10001,40.7487928,-73.9945426,ai,grounded
COOPER FUNERAL HOME,5000 Dempster Street,Skokie,IL,60077,42.040882,-87.7521951,ai,uncorroborated
COOPER HOSPITAL,1 Cooper Plaza,Camden,NJ,08103,39.941225,-75.1163865,ai,corroborated
COOPER HOTELS,,,,,,,,
COOPER MANAGEMENT,,HIGHLAND PARK,IL,60035,,,,
COOPER REALTY,,,,,,,,
COOPER SPONG & DAVIS,555 West 5th Street,Los Angeles,CA,90013,34.0500816,-118.2534063,ai,uncorroborated
COOPER UNIVERSITY HOSPITAL,1 Cooper Plaza,Camden,NJ,08103,39.941225,-75.1163865,ai,grounded
COOPERATIVE PURCHASES,,,,,,,,
COOPERMAN HOLDING CORP,2000 Westchester Avenue,Purchase,NY,10577,41.0167233,-73.7101432,ai,corroborated
COORDINATES OPERATIONS LLC,,,,,,,,
COPADO INC,"330 N. Wabash Ave., Fl. 23",Chicago,IL,60611,41.8886592,-87.627596,ai,grounded
COPPOLA HOCKENBERG PC,,,,,,,,
COPS MONITORING,1041 Glassboro Rd Suite F2,Williamstown,NJ,08094,39.6885131,-75.010533,ai,grounded
CORAD INVESTMENTS LLC,,,,,,,,
CORBEL CAPITAL PARTNERS,"1001 Brickell Bay Dr, Suite 2500",Miami,FL,33131,25.76161,-80.1897961,ai,uncorroborated
CORCORAN,17 State St,New York,NY,10004,40.7029112,-74.0139782,ai,corroborated
CORCORAN REALTY,32 East 57th Street,New York,NY,10022,40.7618724,-73.9720863,ai,uncorroborated
CORDARY INC,,,,,,,,
CORDISH CO,"One Bethesda Metro Ctr, 4th Floor",Bethesda,MD,20814,38.9840754,-77.0946871,ai,corroborated
CORDISH COMPANIES,"300 W Pratt St, Suite 400",Baltimore,MD,21201,39.2866853,-76.6196986,ai,corroborated
CORE HOME,42 W 39th St,New York,NY,10018,40.7523783,-73.9844068,ai,grounded
CORE INNOVATION CAPITAL,"1899 Pennsylvania Ave NW, Suite 320",Washington,DC,20006,38.9005054,-77.0430103,ai,uncorroborated
CORE PEDIATRIC CARDIOLOGY PC,,,,,,,,
CORE SCAFFOLD SYSTEMS INC,,,,,,,,
COREVEST,"4 Park Plaza, Suite 900",Irvine,CA,92614,33.6782537,-117.8378306,ai,grounded
CORGRO,,,,,,,,
"CORLETO, ACKERMAN & NUSSBAUM LLP",,,,,,,,
CORNERSTONE BUILDING BRANDS INC,"15475 Innovation Drive, Suite 100",Chesterfield,MO,63017,38.6581764,-90.5680617,ai,uncorroborated
CORNERSTONE GOVERNMENT AFFAIRS,"1627 I St NW, Suite 1100",Washington,DC,20006,38.901655,-77.0381078,ai,grounded
CORNERSTONE ONDEMAND,"1601 Cloverfield Blvd, Suite 600",Santa Monica,CA,90404,34.028449,-118.473667,ai,corroborated
CORNERSTONE OPS,,,,,,,,
CORNERSTONE PSYCHIATRY ASSOCIATES PA,"2000 16th Street North, Suite 750",Arlington,VA,22201,38.8915167,-77.0895629,ai,uncorroborated
