employer_name,rows,donors,occupations,donor_places,resolved_hq,address_source
NJY,6,1,CEO,"PLAINVIEW, NY",,
D&H,6,1,MANAGER,"BOCA RATON, FL","Camp Hill, PA",ai
MRJ,6,1,TRAVEL CONSULTANT,"NEW YORK, NY",,
SPACEX,6,1,ENGINEER,"IRVINE, CA","Hawthorne, CA",ai
MSL,6,1,CPA,"CASSELBERRY, FL; ORLANDO, FL","New York, NY",ai
MVP,6,2,MEDICAL; MEDICAL DOCTOR; SALES,"AUBURNDALE, MA; BLOOMFIELD HILLS, MI",,
WORKDAY,6,2,MANAGER; SERVICES; VICE PRESIDENT SERVICES,"SKOKIE, IL","Pleasanton, CA",ai
NCCC,6,2,MANAGER,"OWINGS MILLS, MD",,
GREEN,6,2,PHYSICIAN,"CHESTER, NY",,
WCHN,6,1,PHYSICIAN,"MAMARONECK, NY","Danbury, CT",ai
SUNWEST,6,1,RETIRED,"DALLAS, TX",,
CEDAR,6,1,MARKETING,"ARLINGTON, VA","New York, NY",ai
PWRFL,6,1,ATTORNEY,"MERCER ISLAND, WA",,
DANKMEYER,6,1,CHIEF PRODUCT OFFICER,"PIKESVILLE, MD","Linthicum Heights, MD",ai
DISNEY,6,2,ATTORNEY; DIRECTOR; LAWYER,"STUDIO CITY, CA; WINTER PARK, FL","Burbank, CA",ai
RASF,6,1,RADIOLOGIST,"MIAMI BEACH, FL",,
QUALCOMM,6,1,COUNSEL,"LA JOLLA, CA","San Diego, CA",ai
DESRI,6,1,CEO; POWER,"NEW YORK, NY","New York, NY",ai
TLLF,6,1,PROGRAM DIRECTOR; PROGRAM OFFICER,"CHARLOTTE, NC",,
SYNTHEGO,6,1,COUNSEL; LAWYER,"BURLINGAME, CA","South San Francisco, CA",ai
DCI,6,1,FINANCE,"BAKERSFIELD, CA",,
DCPS,6,1,SPEECH LANGUAGE PATHOLOGIST,"ARLINGTON, VA","Washington, DC",ai
HOCS,6,2,IT; VCIO,"POTOMAC, MD; SILVER SPRING, MD",,
BODMAN,6,1,ATTORNEY; LAWYER,"ANN ARBOR, MI","Detroit, MI",ai
MANET,6,1,REAL ESTATE,"AUSTIN, TX",,
HIGHMARK,6,2,ATTORNEY; DATA SCIENTIST,"MOORESVILLE, NC; PITTSBURGH, PA","Pittsburgh, PA",ai
BENESCH,6,2,ATTORNEY,"BEACHWOOD, OH; CHICAGO, IL","Columbus, OH",ai
TETRAGON,6,1,CEO,"NEW YORK, NY; PURCHASE, NY","New York, NY",ai
UNCC,6,1,FACULTY; LECTURER; PROFESSOR,"CHARLOTTE, NC","Charlotte, NC",ai
BAIRD,6,2,FINANCE; FIXED INCOME SALES & TRADING; MANAGING DIRECTOR,"GLENCOE, IL; PORT WASHINGTON, NY","Milwaukee, WI",ai
INSPERITY,6,4,ADVISOR; BUSINESS PERFORMANCE ADVISOR,"ARMONK, NY; BELLAIRE, TX; SKOKIE, IL","Kingwood, TX",ai
KREINDLER,6,1,ATTORNEY,"NEW YORK, NY","New York, NY",ai
DRL,6,1,ATTORNEY,"LOS ANGELES, CA","Washington, DC",ai
NOVARTIS,6,3,CONSULTANT; MEDICAL DIRECTOR; OFFICER,"NEW YORK, NY; SUMMIT, NJ; VOORHEES, NJ","East Hanover, NJ",ai
KAMAN,6,1,RETIRED,"STAMFORD, CT","Bloomfield, CT",
F-FACTOR,6,1,DIETITIAN; RESEARCH & DEVELOPMENT,"NEW YORK, NY","New York, NY",ai
IWHC,6,1,RETIRED,"SCARSDALE, NY","Washington, DC",ai
O.S.G,6,2,MANAGER; RETIRED,"MAHWAH, NJ; WAXHAW, NC","Torrance, CA",ai
KBR,6,1,ATTORNEY,"LA GRANGE, TX","Houston, TX",ai
ARC,6,2,BROKER; REAL ESTATE,"FORT LAUDERDALE, FL; GLENDORA, CA","Fort Lauderdale, FL",ai
PLEXI,6,1,CONSULTANT; LEGAL/CONSULTING,"LOS ANGELES, CA",,
JNS,6,2,CHIEF DEVELOPMENT OFFICER; HOUSEWIFE; VP OF DEVELOPMENT,"BEVERLY HILLS, CA; BRONX, NY",,
ADH,5,1,HEALTH CARE,"ALLENHURST, NJ",,
YARMISH,5,1,RETIRED,"BEVERLY HILLS, CA",,
YCM,5,1,INVESTOR; MANAGING DIRECTOR; MEDICAL DOCTOR,"MORAGA, CA",,
ALTMAN,5,1,REAL ESTATE,"DAVIE, FL",,
NUNYA,5,2,ADVERTISING; BUSINESS,"MIAMI BEACH, FL; SANTA MONICA, CA",,
WRITER,5,1,MEDICAL DOCTOR; RETIRED,"WEST HARTFORD, CT",,
CVSHEALTH,5,3,PUBLIC RELATIONS; RETIRED; SENIOR VICE PRESIDENT,"MCLEAN, VA; MORTON GROVE, IL; OSSINING, NY","Woonsocket, RI",ai
SADZ,5,1,ATTORNEY; REAL ESTATE,"ALLENHURST, NJ; NEW YORK, NY",,
NDI,5,1,INTERNATIONAL DEVELOPMENT,"WASHINGTON, DC","Washington, DC",ai
DELL,5,3,ADMINISTRATOR; ENGINEER; SALES,"CHICAGO, IL; PALM BEACH GARDENS, FL; PARK CITY, UT","Round Rock, TX",ai
NJIT,5,2,PROFESSOR; RETIRED,"WEST ORANGE, NJ","Newark, NJ",ai
GHC,5,1,REAL ESTATE; SELF REAL ESTATE; SELF-EMPLOYED,"SURFSIDE, FL",,
DERMIC,5,1,MEDICAL DOCTOR,"CHICAGO, IL",,
GFX,5,1,OWNER/PRESIDENT; PRESIDENT,"NORTH MIAMI BEACH, FL",,
GENESYS,5,1,MARKETER; MARKETING,"ARLINGTON, VA","Daly City, CA",ai
GANTRY,5,2,COMMERCIAL MORTGAGE BANKER; COMMERCIAL MORTGAGE BROKER; MORTGAGE BANKER,"NEW YORK, NY; SAN FRANCISCO, CA","Brooklyn, NY",ai
GAINSIGHT,5,1,DIRECTOR,"CARMEL, IN","San Francisco, CA",ai
CMI,5,1,,"BROOKLYN, NY","New York, NY",ai
CORUS,5,1,ADMINISTRATOR,"LOS ANGELES, CA",,
RPB,5,1,ATTORNEY,"BEVERLY HILLS, CA",,
DELTA,5,3,DIRECTOR; MARKETING; PILPT,"NEW ROCHELLE, NY; NEW YORK, NY","Atlanta, GA",ai
RRH,5,1,MEDICAL DOCTOR,"PITTSFORD, NY; ROCHESTER, NY",,
NSSD,5,1,TEACHER,"WILMETTE, IL",,
NORTHAVEN,5,1,MANAGER,"DALLAS, TX","Dallas, TX",ai
PSG,5,2,PRESIDENT; REAL ESTATE,"AUSTIN, TX; BALTIMORE, MD; BOCA RATON, FL","Baltimore, MD",ai
CAPITALZ,5,1,PRIVATE EQUITY; RETIRED,"BOCA RATON, FL",,
STATE,5,1,FOREIGN SERVICE OFFICER,"MEDINA, TX",,
MARCH,5,1,FINANCIAL PLANNER,"LOWER GWYNEDD, PA",,
MLCO,5,1,BUSINESS OWNER; EXECUTIVE; SALES,"CHICAGO, IL",,
MEQS,5,1,PARTNER; REAL ESTATE; SALES,"NEW YORK, NY",,
SIMONCRE,5,1,CEO,"SCOTTSDALE, AZ","Scottsdale, AZ",ai
MICH,5,1,ATTORNEY,"CHICAGO, IL",,
MORENERGY,5,1,BUSINESS OWNER; OWNER,"DENVER, CO",,
MPI,5,2,REAL ESTATE,"CHICAGO, IL","Addison, TX",ai
HAMMOND,5,1,REAL ESTATE; REALTOR,"WABAN, MA",,
SCPMG,5,2,DOCTOR; MEDICAL DOCTOR,"LA JOLLA, CA; NEWPORT COAST, CA",,
BNA,5,1,PHYSICIAN,"GETZVILLE, NY","Arlington, VA",ai
BRAVO,5,1,SELF-EMPLOYED,"GLEN ROCK, NJ","New York, NY",ai
SRG,5,1,CORPORATE; REAL ESTATE,"BAL HARBOUR, FL",,
MAGNETIC,5,1,REAL ESTATE,"NEW YORK, NY",,
HYLVER,5,1,EXECUTIVE; RETIRED,"DALLAS, TX",,
AVANT,5,1,SOFTWARE ENGINEER,"CHICAGO, IL","Chicago, IL",ai
BASIC,5,1,FOUNDER,"BALTIMORE, MD",,
UHG,5,1,EXECUTIVE,"SILVER SPRING, MD","Minnetonka, MN",ai
JPMC,5,1,DESIGNER,"CHICAGO, IL","New York, NY",ai
JENEL,5,1,REAL ESTATE,"NEW YORK, NY",,
TPMG,5,3,PHYSICIAN,"DAVIS, CA; FOSTER CITY, CA","San Francisco, CA",ai
IPM,5,1,PROPERTY MANAGER; REAL ESTATE MANAGER,"PORTLAND, OR",,
ALMAR,5,1,EXECUTIVE VICE PRESIDENT; VICE PRESIDENT,"BROOKLYN, NY",,
RCCA,4,2,PHYSICIAN,"COLTS NECK, NJ; ENGLEWOOD, NJ",,
RRT,4,1,GENERAL MANAGER; REAL ESTATE,"CHESTNUT HILL, MA",,
DELPHI,4,1,ENGINEER,"CARMEL, IN","Troy, MI",ai
SFMG,4,1,WEALTH ADVISOR,"PLANO, TX",,
COVETRUS,4,1,"CEO; SVP, COMPOUNDING DIVISION","SCOTTSDALE, AZ","Portland, ME",ai
NAM,4,2,DIRECTOR; FUNDRAISER; FUNDRAISING,"DEERFIELD, IL; GROSSE POINTE WOODS, MI","Washington, DC",ai
CPC,4,1,ASSET MANAGEMENT; BANKING; COO,"NEW ROCHELLE, NY",,
SANDHURST,4,1,BIG BOY; REAL ESTATE INVESTMENT & MANAGMENT; REAL ESTATE INVESTMENT AND MANAGEMENT,"IRVINGTON, NY",,
DALET,4,1,BUSINESS DEVELOPMENT MANAGER,"MIAMI, FL","New York, NY",ai
BAYLOR,4,1,PEDIATRIC NEUROSURGEON; SURGEON,"HOUSTON, TX","Waco, TX",ai
AWM,4,1,FINANCE; FINANCIAL ADVISOR,"MIAMI, FL",,
BIDMC,4,2,PHYSICIAN; REGISTERED NURSE,"NEEDHAM, MA; NEWTON CENTER, MA","Boston, MA",ai
USHER,4,1,BUSINESS PROFESSIONAL; CEO,"JACKSONVILLE, FL",,
USG,4,3,ATTORNEY; PROFESSOR; RETIRED,"BETHESDA, MD; DEMOREST, GA; WASHINGTON, DC","Chicago, IL",ai
KCAV,4,2,ATTORNEY; BUSINESS OWNER; OWNER/COMPLIANCE,"OVERLAND PARK, KS",,
LIGHTBOX,4,1,REAL ESTATE,"NEW YORK, NY; TIBURON, CA","New York, NY",ai
LDI,4,2,CHAIRMAN; EXECUTIVE,"MINNETONKA, MN; NEW HOPE, MN",,
UNH,4,2,PROGRAMMER,"HIGHLAND PARK, IL","Durham, NH",ai
LVJUSD,4,1,RETIRED,"TARZANA, CA","Thousand Oaks, CA",ai
HERCULES,4,1,REAL ESTATE,"VIRGINIA BEACH, VA","Palo Alto, CA",manual
SEL,4,3,LAWYER; NURSING HOME; PHYSICIAN,"LIVINGSTON, NJ; NEWTON, MA; SAN DIEGO, CA",,
MANJ,4,1,TRANSPORTATION,"WEST ORANGE, NJ",,
SPARE,4,1,SALES EXECUTIVE; SALES MANAGER,"VENTNOR CITY, NJ","West Hollywood, CA",ai
CDSD,4,1,SCHOOL PSYCHOLOGIST,"HARRISBURG, PA",,
CDT,4,1,BUSINESS OWNER,"IRVINE, CA",,
CDHH,4,1,RETIRED; TEACHER,"PACIFIC PALISADES, CA",,
SMC,4,2,MANAGEMENT; RETIRED,"BOSTON, MA; NAPLES, FL","Somerset, WI",ai
GRUNBAUM,4,1,INVESTOR; RETIRED,"TARZANA, CA",,
FORBES,4,2,EDITOR; MANAGING PARTNER,"NEW YORK, NY; SOUTHFIELD, MI","Jersey City, NJ",ai
PRECIGEN,4,1,RETIRED,"NEWTON CENTER, MA","Fairfax, VA",ai
FRISCH,4,1,DIRECTOR OF OPERATIONS; OPERATION DIRECTOR,"ENGLEWOOD, NJ","Paramus, NJ",ai
FOX,4,1,DIGITAL; EXECUTIVE,"NEW YORK, NY","New York, NY",ai
PDI,4,1,PRESIDENT,"AUSTIN, TX","Houston, TX",ai
DORSHIRE,4,1,RETIRED,"DEERFIELD, IL",,
EXTELL,4,2,"EVP, FINANCE; LAWYER","CEDARHURST, NY; NEW YORK, NY","New York, NY",ai
NJBS,4,1,PHYSICIAN,"TEANECK, NJ",,
PFA,4,1,RETIRED,"BOCA RATON, FL",,
CYBERARK,4,2,"CEO; FOUNDER & EXECUTIVE CHAIRMAN; FOUNDER, CHAIRMAN & CEO","CHESTNUT HILL, MA","Newton, MA",ai
EGRS,4,1,LEGISLATIVE ADVOCATE,"CARMICHAEL, CA",,
DHS,4,1,FORMER TEACHER; RETIRED,"EUGENE, OR","Washington, DC",
PHILIPS,4,2,GENEVA ACCOUNT MANAGER; MEDICAL SALES; RETIRED,"FRISCO, TX; TUXEDO PARK, NY","Andover, MA",ai
FATTOC,4,1,RETIRED,"WEST HOLLYWOOD, CA","West Hollywood, CA",
AMHERST,4,1,ATTORNEY,"MATTHEWS, NC","Austin, TX",ai
PIM,4,1,INVESTMENT; REAL ESTATE,"PACIFIC PALISADES, CA",,
EMORY,4,2,PHYSICIAN; PROFESSOR,"ATLANTA, GA","Atlanta, GA",ai
FLOWERRE,4,1,REAL ESTATE BROKER,"GREAT NECK, NY",,
FINRA,4,2,PROGRAM MANAGER; RETIRED,"MIAMI, FL; POTOMAC, MD","Washington, DC",ai
ANS,4,1,CO-FOUNDER,"PARADISE VALLEY, AZ; SCOTTSDALE, AZ",,
WTIC-TV,4,1,RETIRED,"BLOOMFIELD, CT","Hartford, CT",ai
ALLENCOMM,4,1,CEO; MANAGEMENT,"SALT LAKE CITY, UT","Salt Lake City, UT",ai
ALTER,4,1,BUSINESS MANAGER,"SKOKIE, IL",,
HEDGEACT,4,1,ATTORNEY,"CHICAGO, IL",,
CDPH,4,1,PHYSICIST,"LINCOLN, CA","Sacramento, CA",ai
MICROCHIP,4,1,ATTORNEY; RETIRED,"PITTSBURGH, PA","Chandler, AZ",ai
GTCR,4,1,RETIRED,"TETON VILLAGE, WY","Chicago, IL",ai
IPSOS,4,1,CONSULTANT,"BROOKLYN, NY","New York, NY",ai
BLUESPOT,4,1,PRESIDENT,"NEW YORK, NY",,
SYNERGY,4,1,PHYSICIAN,"SOUTHFIELD, MI",,
MDEMDPC,4,1,PHYSICIAN,"OXNARD, CA",,
GXO,4,1,"ANALYST, FINANCE; SENIOR ANALYST; SENIOR ANALYST, FINANCE","NEW YORK, NY","Greenwich, CT",ai
BAYER,4,1,SOFTWARE DEVELOPER,"UNIVERSITY CITY, MO","Whippany, NJ",ai
JINSA,4,1,DEVELOPMENT; FUNDRAISER,"LOXAHATCHEE, FL","Washington, DC",ai
VRCNY,4,1,PHYSICIAN,"GREAT NECK, NY",,
JACOB,4,1,PHYSICIAN,"MIAMI BEACH, FL",,
VEARC,4,1,OPERATING PARTNER,"NEW YORK, NY",,
BDTX,4,1,RETIRED,"NEW HOPE, PA","Great Neck, NY",ai
RMCB,3,1,RETIRED,"FAIRFIELD, CT","Elmsford, NY",
SCHUYLER,3,1,RETIRED,"AVENTURA, FL",,
COAST,3,1,CHIEF OF STAFF; HEAD OF BUSINESS OPERATIONS,"NEW YORK, NY",,
SBNY,3,1,VENTURE CAPITAL,"MIAMI BEACH, FL","New York, NY",ai
SG360,3,2,MECHANIC/ MACHINE ADJUSTER/ MECHANICAL; SALES,"CHICAGO, IL; MERRICK, NY","Wheeling, IL",ai
NAVISTAR,3,1,RETIRED,"SKOKIE, IL","Lisle, IL",
GIFT,3,1,RETIRED,"LUTZ, FL",,
CRF,3,1,FINANCE,"SCARSDALE, NY",,
SAGENT,3,1,SOFTWARE DEVELOPER,"STATEN ISLAND, NY","New York, NY",ai
NNONE,3,1,RETIRED,"MINNETONKA, MN",,
PAS,3,1,ACCOUNTANT; RETIRED,"ATLANTIC BEACH, NY",,
FERMENT,3,1,INVESTOR,"NEW YORK, NY",,
ORTHOFIX,3,1,LAWYER,"DALLAS, TX","Lewisville, TX",ai
NWH,3,1,MEDICAL DOCTOR; PHYSICIAN,"ENGLEWOOD, NJ",,
OTGP,3,1,CEO,"GREENSBORO, NC","Chapel Hill, NC",ai
NYSWCB,3,1,COMP CLAIMS REFEREE,"EAST BRUNSWICK, NJ",,
PMP,3,1,CEO,"GREENSBORO, NC",,
WTW,3,2,ACTUARY; INSURANCE BROKER; SENIOR VICE PRESIDENT,"SHERMAN OAKS, CA; TEANECK, NJ","New York, NY",ai
WOODNEXT,3,1,FINANCE,"NEW YORK, NY",,
WPCM,3,1,FINANCE,"RUMSON, NJ",,
WRDC,3,1,REAL ESTATE,"ARDMORE, PA",,
JPORLEANS,3,1,CEO,"CONSHOHOCKEN, PA",,
JBI,3,1,INVESTMENTS; RETIRED,"SCOTTSDALE, AZ",,
FCE,3,1,RETIRED,"WINNETKA, IL","Danbury, CT",ai
ADVENTIST,3,2,EMPLOYEE; PHYSICIAN,"PORTLAND, OR","Silver Spring, MD",ai
ALKERMES,3,1,RETIRED,"LENOX, MA","Waltham, MA",
ZINTRO,3,1,RETIRED,"BOSTON, MA","Denver, CO",ai
REINGOLD,3,1,SENIOR DIGITAL MARKETING ASSOCIATE,"RESTON, VA","Alexandria, VA",ai
RISHMFM,3,1,PHYSICIAN,"GREAT NECK, NY",,
NORC,3,2,PROGRAMMER,"HIGHLAND PARK, IL","Chicago, IL",ai
FORD,3,1,DIRECTOR TPM,"SEATTLE, WA","Dearborn, MI",ai
NIGHTHAWK,3,1,RADIOLOGIST,"TUCSON, AZ","Tucson, AZ",ai
DCS,3,1,RETIRED,"PHILADELPHIA, PA",,
PREF,3,1,RETIRED,"ENGLEWOOD, NJ",,
FTV,3,1,FINANCE,"HERMOSA BEACH, CA; SAN DIEGO, CA","Los Angeles, CA",ai
ESS,3,1,RETIRED,"BOCA RATON, FL",,
DRUSCO,3,1,RETIRED,"PINECREST, FL",,
DONOVANS,3,1,RETIRED,"PARADISE VALLEY, AZ",,
PENOSCOT,3,1,RETIRED,"PALM BEACH, FL","Portland, ME",ai
PMSCO,3,1,REAL ESTATE,"SAN DIEGO, CA",,
PHM,3,1,,"BETHESDA, MD",,
PAYJOY,3,1,SOFTWARE ENGINEER,"TUCSON, AZ","San Francisco, CA",ai
CHAIRMAN,3,2,HOMEMAKER; KIMCO; RETIRED,"OLD WESTBURY, NY; SCARSDALE, NY",,
CHABAD,3,3,RABBI,"DALLAS, TX; PARK CITY, UT; REDONDO BEACH, CA","Brooklyn, NY",ai
CFVHS,3,1,RETIRED,"GREENVILLE, NC",,
CHG,3,1,MANAGEMENT; RETIRED,"MENDOTA HEIGHTS, MN",,
SEGBRO,3,1,REAL ESTATE; RETIRED,"ENGLEWOOD CLIFFS, NJ; ENGLEWOOD, NJ",,
MOSS,3,1,PROJECT MANAGER,"MIAMI, FL",,
MMC,3,2,PHYSICIAN,"BROOKLYN, NY; NEW YORK, NY","New York, NY",ai
TINDER,3,1,FOUNDER,"LOS ANGELES, CA","West Hollywood, CA",ai
LOMARHR,3,1,CONSULTANT,"SCARSDALE, NY",,
HUMC,3,1,PHYSICIAN,"ENGLEWOOD, NJ","Bayonne, NJ",ai
MAB,3,1,INVESTMENTS; REAL ESTATE,"DALLAS, TX",,
SUTTER,3,1,PHYSICIAN,"MENLO PARK, CA","Sacramento, CA",ai
SUNY,3,1,PROFESSOR,"PINE BUSH, NY","Albany, NY",ai
MCNAUL,3,2,ATTORNEY,"MERCER ISLAND, WA; SEATTLE, WA","Seattle, WA",ai
MCO,3,1,ANALYST; SENIOR VICE PRESIDENT,"CHERRY HILL, NJ; PHILADELPHIA, PA","Davie, FL",ai
BRIAN,3,1,SELF-EMPLOYED,"LOS ANGELES, CA",,
STINSON,3,1,ATTORNEY,"DALLAS, TX","Saint Louis, MO",ai
SMBC,3,1,REAL ESTATE FINANCE,"NEW YORK, NY","New York, NY",ai
SOFTWARE,3,2,MARKETING; SOFTWARE ENGINEER,"NORTH WALES, PA; VALLEY STREAM, NY",,
MCS,3,1,EXECUTIVE DIRECTOR,"LOS ANGELES, CA",,
HILLSPIRE,3,1,INVESTMENT; REAL ESTATE,"SAN FRANCISCO, CA","Menlo Park, CA",ai
TEMPLE,3,3,CLEANING UP MESSES; CLERGY; RETIRED,"CLOSTER, NJ; LAKE WORTH, FL; PHILADELPHIA, PA",,
CANYONMD,3,1,BUSINESS OWNER,"MANHATTAN BEACH, CA","New York, NY",ai
CDR,3,2,FINANCE,"SCARSDALE, NY",,
SEF,3,3,ATTORNEY; INVESTOR; LAWYER,"NEW ROCHELLE, NY; SUNNY ISLES BEACH, FL; TROY, MI",,
SHUMAKER,3,2,ATTORNEY,"OTTAWA HILLS, OH; TAMPA, FL","Tampa, FL",ai
CES,3,1,LIBRARIAN,"FAIRFIELD, CT","Trumbull, CT",ai
SKG,3,1,REAL ESTATE,"ENCINITAS, CA","Encinitas, CA",manual
MILLIMAN,3,1,ACTUARY; RETIRED,"NEW YORK, NY","Emeryville, CA",ai
MERCK,3,3,MARKETING; PHYSICIAN; RETIRED,"NEW ROCHELLE, NY; NEW YORK, NY; RALEIGH, NC","Kenilworth, NJ",ai
GTA,3,1,PRESIDENT; RETIRED,"DUNWOODY, GA",,
MFM,3,1,CONSULTANT,"SCARSDALE, NY",,
MHP,3,2,PHYSICIAN,"BLOOMFIELD HILLS, MI; FRANKLIN, MI",,
MHQ,3,1,FOUNDER AND CHAIR; MOSTLY TRTIRED,"BOSTON, MA",,
SSA,3,1,ATTORNEY,"BAYSIDE, NY",,
THERABODY,3,1,CO-FOUNDER; EXECUTIVE,"BEVERLY HILLS, CA","Roseville, CA",ai
TRINET,3,3,ANALYST; FINANCE SPECIALIST; HEDGE FUND PRACTICE LEADER,"BROOKLYN, NY; WELLESLEY, MA","Dublin, CA",ai
CACTUS,3,2,COO; RETIRED,"BELLAIRE, TX; HOUSTON, TX","Chandler, AZ",ai
TANDEMHR,3,1,RETIRED,"CHICAGO, IL","Boston, MA",ai
KCM,3,1,INVESTOR,"DALLAS, TX","Chicago, IL",ai
KRA,3,1,DEVELOPER; REAL ESTATE,"LOS ANGELES, CA",,
ICSD,3,1,RETIRED,"ITHACA, NY",,
LDR,3,1,LAWYER; PARTNER,"HOUSTON, TX",,
TRV,3,1,VENTURE CAPITAL,"PALM BEACH GARDENS, FL","New York, NY",ai
UMSJMC,3,1,RETIRED,"BALTIMORE, MD","Worcester, MA",ai
BLUELINX,3,1,RETIRED,"ATLANTA, GA","Atlanta, GA",ai
BURBERRY,3,3,EXECUTIVE ASSISTANT; PLANNER,"ENGLEWOOD, NJ; NEW YORK, NY","New York, NY",ai
LUSD,3,1,RETIRED,"WILLITS, CA","Brea, CA",ai
LRGRW,3,1,RETIRED,"SANDY SPRINGS, GA",,
LOWNDES,3,1,ATTORNEY,"MAITLAND, FL; WINTER PARK, FL","Orlando, FL",ai
LLG,3,1,LAWYER; SELF-EMPLOYED,"GREAT NECK, NY",,
TOPAZ,3,1,REAL ESTATE,"ENGLEWOOD, NJ",,
BRAZE,3,1,PRODUCT MANAGER,"LOS ANGELES, CA; NEW YORK, NY","New York, NY",ai
BCLL,3,1,MARKETING,"CHARLOTTE, NC",,
VAST,3,1,SOFTWARE DEVELOPER,"ENGLEWOOD, NJ","New York, NY",ai
URBAN,3,1,PRESIDENT; RETIRED,"GREENWOOD VILLAGE, CO",,
URG,3,1,MEDICAL DOCTOR,"MONROE TOWNSHIP, NJ",,
INFOSYS,3,1,CONSULTANT,"MIAMI, FL","Plano, TX",ai
WALMART,3,2,RETAIL; RETIRED,"METUCHEN, NJ; PASADENA, CA; SOUTH PASADENA, CA","Bentonville, AR",ai
KJBINC,3,1,RETIRED,"SKOKIE, IL",,
U.S.P.S,3,2,RETIRED; TREASURER,"ANN ARBOR, MI; EL SOBRANTE, CA","Washington, DC",
KENTWOOD,3,1,REALTOR,"ENGLEWOOD, CO","Kentwood, MI",ai
KIG,3,2,RETIRED; TICKET SALES,"DELRAY BEACH, FL; PIKESVILLE, MD",,
WAYS2WELL,3,1,HEALTHCARE,"AUSTIN, TX",,
ARDELYX,3,2,PHARMACEUTICAL EXEC; PHARMACEUTICAL SALES,"AVENTURA, FL; WABAN, MA","Waltham, MA",ai
ASBURY,3,2,RETIRED,"EAST HAMPTON, NY; NAPLES, FL","Ocean City, NJ",ai
KATZIN,3,1,REAL ESTATE INVESTOR,"LOS ANGELES, CA",,
JFS,3,1,DEVELOPMENT; DEVELOPMENT ADMIN,"BLOOMFIELD HILLS, MI","Bloomfield Hills, MI",manual
JFCSNNJ,3,1,PSYCHOTHERAPIST,"TENAFLY, NJ","Summit, NJ",ai
JMBM,3,1,ATTORNEY,"ENCINO, CA; HIDDEN HILLS, CA","Los Angeles, CA",ai
ADDCA,3,1,OWNER,"SLINGERLANDS, NY",,
WRSSR,2,2,LAWYER,"LOS ANGELES, CA",,
ZMC,2,1,FINANCE,"NEW YORK, NY","New York, NY",ai
WESTVIEW,2,1,SALES,"WOODBURY, NY",,
ZIG,2,1,COMMERCIAL REAL ESTATE OWNER; SELF-EMPLOYED,"CHARLOTTE, NC",,
YMPC,2,1,EXECUTIVE,"COLUMBUS, OH",,
ADG,2,1,MULTI FAMILY DESIGN,"LOS ANGELES, CA",,
WELLPATH,2,1,HEALTHCARE,"THOUSAND OAKS, CA","Franklin, TN",ai
ISDS,2,1,CONSULTANT,"DALLAS, TX",,
JEFFERSON,2,1,PHYSICIAN,"DOYLESTOWN, PA",,
JCRC,2,1,RETIRED,"ATLANTA, GA",,
JCG,2,1,VICE PRESIDENT,"NEW YORK, NY",,
WELLMED,2,1,PHYSICIAN,"OLDSMAR, FL","Austin, TX",ai
WDS,2,1,ASSISTANT TEACHER,"NEW ROCHELLE, NY",,
ASN,2,1,ANESTHESIOLOGIST,"DAYTON, OH",,
ARMY,2,1,,"CONCORD, CA","Washington, DC",ai
WASSERMAN,2,1,CEO/CHAIRMAN,"LOS ANGELES, CA","Los Angeles, CA",ai
VESTED,2,1,INVESTOR,"NEW YORK, NY",,
VERIS,2,1,ATTORNEY,"MERCER ISLAND, WA","Seattle, WA",ai
WESTSIDE,2,1,INVESTOR,"DENVER, CO; GREENWOOD VILLAGE, CO",,
BCMI,2,1,EXECUTIVE; EXECUTIVE VICE PRESIDENT,"BRYN MAWR, PA",,
KATTEN,2,2,ATTORNEY,"DALLAS, TX; NEW YORK, NY","Los Angeles, CA",ai
K&S,2,1,LAW PARTNER,"LOS ANGELES, CA",,
INFOR,2,1,RETIRED,"BROOKLYN, NY","Plano, TX",ai
JAT,2,1,REAL ESTATE,"ATLANTA, GA; SANDY SPRINGS, GA",,
JAM,2,1,CEO,"ENCINO, CA",,
JSL,2,1,FINANCE; FINANCIAL SERVICES,"LOS ANGELES, CA",,
BCE,2,1,RETIRED,"BEVERLY HILLS, CA",,
UBCC,2,1,PRESIDENT,"LEHI, UT",,
USUHS,2,1,TEACHER,"BETHESDA, MD","Bethesda, MD",ai
USHP,2,1,PHYSICIAN,"ROCKVILLE, MD",,
UNC,2,1,PHYSICIAN,"CHAPEL HILL, NC","Chapel Hill, NC",ai
UMD,2,1,TEACHER,"ALEXANDRIA, VA","College Park, MD",ai
UJC,2,1,RETIRED,"BOULDER, CO",,
UHS,2,2,EXECUTIVE; EXECUTIVE CHAIR,"GLADWYNE, PA; NEWTOWN SQUARE, PA","King of Prussia, PA",ai
AWS,2,2,DCEO EOT IV; TECH EXECUTIVE,"SCARSDALE, NY; VALPARAISO, IN","Seattle, WA",ai
ITREK,2,1,SENIOR ASSOCIATE,"NEW YORK, NY",,
JTS,2,1,ATTORNEY,"MOUNT PLEASANT, SC","Dallas, TX",ai
KHC,2,1,LAWYER,"CHERRY HILL, NJ","Pittsburgh, PA",ai
L&J,2,1,ATTORNEY,"MARIETTA, GA",,
KYNDRYL,2,2,SALES,"ENGLEWOOD, NJ; NORTHBROOK, IL","New York, NY",ai
KYHS,2,1,EXECUTIVE DIRECTOR,"BOCA RATON, FL",,
