employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
STIEFEL,15,confirmed,5 Moore Dr,NC,,,FL:15
STRATEGIC WEALTH PARTNERS,15,corrected,"3515 K Street NW, Suite 300, Washington, DC",DC,520 Lake Cook Road Suite 520,IL,IL:15
PATRIOT AUTO GROUP,15,corrected,"47 S Main St, Leominster, MA",MA,769 Portland Road,ME,NH:12; FL:3
CARTER MORSE & GOODRICH,15,corrected,"100 High St, Boston, MA",MA,99 Harbor Road,CT,CT:15
JUMP OPERATIONS LLC,15,corrected,"150 Broadway, New York, NY",NY,"600 West Chicago Avenue, Suite 600",IL,NJ:15
SAGE VENTURES LLC,15,corrected,"One Letterman Drive Building D, Suite D420, San Francisco, CA",CA,"1777 Reisterstown Rd, Suite 245",MD,MD:15
THRYV INC,15,confirmed,"2600 Dallas Parkway, Suite 300",TX,,,NY:15
WEWORK,15,confirmed,110 5th Ave,NY,,,NJ:15
A PRIORI,14,confirmed,"300 Baker Ave, Suite 320",MA,,,CT:14
DELMAR GARDENS ENTERPRISES,14,corrected,"4300 Frontage Road, Quincy, IL",IL,14805 N Outer 40 Rd Suite 300,MO,MO:14
ARDEA PARTNERS,14,corrected,"One Freedom Plaza, 50 Kennedy Plaza, Providence, RI",RI,"10 Hudson Yards, 48th Floor",NY,NY:14
ACCENTURE,14,confirmed,161 N Clark St,IL,,,NY:11; KS:2; MA:1
ALLADAPT IMMUNOTHERAPEUTICS,14,corrected,"82 Falmouth Road, Westborough, MA",MA,405 El Camino Real #611,CA,CT:14
FRIEDKIN PROPERTY,14,corrected,"777 Walker St, Houston, TX",TX,"44 Montgomery Street, Suite 3700",CA,CA:14
EDGEWOOD CONSULTING,14,corrected,"1111 Superior Ave E, Suite 1010, Cleveland, OH",OH,"1719 State Route 10, Ste 226",NJ,NJ:14
FROST BROWN TODD,14,corrected,"300 North Meridian St, Suite 2700, Indianapolis, IN",IN,"400 West Market Street, Suite 3200",KY,KY:14
GREYSTONE,14,corrected,"601 S Figueroa St, Suite 1500, Los Angeles, CA",CA,"152 West 57th Street, 60th Floor",NY,NY:8; NJ:6
IRVING INVESTORS,14,corrected,"251 Royal Palm Way, Suite 200, Palm Beach, FL",FL,"205 Detroit St, Ste 400",CO,CO:14
IDW,14,corrected,"263 Shuman Boulevard, Naperville, IL",IL,2765 Truxtun Road,CA,NJ:14
GNI,14,corrected,"5959 CORPORATE DR, HOUSTON, TX",TX,"219 N Broad St, 7th Fl",PA,PA:14
MCA FINANCIAL,14,corrected,"333 S. Grand Avenue, 42nd Floor, Los Angeles, CA",CA,4909 North 44th Street,AZ,AZ:14
MCKINNEY PROPERTIES,14,corrected,"401 N Loop 1604 W, Suite 100, San Antonio, TX",TX,1717 Penn Avenue Suite 5015,PA,PA:14
GCF,14,corrected,"675 Third Avenue, 12th Floor, New York, NY",NY,18909 NE 29th Ave,FL,FL:13; CO:1
MCGUIRE WOODS. BECKERS HEALTHCARE,14,confirmed,800 East Canal Street,VA,,,IL:14
MEATEATER,14,corrected,"1214 3rd Avenue South #205, Seattle, WA",WA,131 Discovery Dr,MT,CA:14
ORACLE,14,corrected,"500 Oracle Parkway, Redwood Shores, CA",CA,2300 Oracle Way,TX,AZ:13; MD:1
SOAPSTONE CAPITAL,14,corrected,"101 California Street, Suite 2750, San Francisco, CA",CA,"7500 Old Georgetown Road, Suite 200",MD,MD:14
RECOVERY MANAGEMENT CORPORATION,14,corrected,"25 SE 2nd Ave, Suite 500, Miami, FL",FL,3236 Noland Rd,MO,KS:14
SPGI,14,confirmed,55 Water Street,NY,,,NH:14
RAC,14,corrected,"100 Washington St, Woburn, MA",MA,"3890 Tampa Rd, Suite 405",FL,FL:14
USI INSURANCE SERVICES,14,corrected,"601 Union Street, Suite 6000, Seattle, WA",WA,"100 Summit Lake Drive, Suite 400",NY,CA:14
STORAGE PROS MANAGEMENT,14,corrected,"150 N. Radnor-Chester Road, Suite F-150, Radnor, PA",PA,"30665 Northwestern Highway, Suite 100",MI,MI:14
THE WOLCOTT GROUP,14,corrected,"10 High St, Worcester, MA",MA,"935 West Chestnut St, Suite 600",IL,IL:14
STRETTO,14,confirmed,"4100 Newport Pl Dr, Suite 600",CA,,,NV:14
TIMESHARES DIRECT,14,corrected,"1000 N West St, Wilmington, DE",DE,"7083 Grand National Drive, Suite 105",FL,FL:14
VSC MANAGEMENT,14,corrected,"545 Long Wharf Drive, New Haven, CT",CT,"100 Glenborough Dr, Suite 1000",TX,TX:14
SUSMAN GODFREY LLP,14,confirmed,"1000 Louisiana Street, Suite 5100",TX,,,NY:14
KESSLER & KESSLER LLC,14,corrected,"121 West Washington Street, Suite 2020, Chicago, IL",IL,"1000 Marina Village Pkwy, Ste 130",CA,CA:14
AGAM CAPITAL,13,corrected,"660 Madison Avenue, 4th Floor, New York, NY",NY,"500 Frank W Burr Blvd, 4th Floor",NJ,NJ:13
ADLER REAL ESTATE PARTNERS,13,corrected,"1701 L St NW #750, Washington, DC",DC,800 Brickell Ave Suite 701,FL,FL:13
ARISE CAPITAL PARTNERS,13,corrected,"445 Park Avenue, 10th Floor, New York, NY",NY,"555 Skokie Blvd, Suite 445",IL,FL:7; IL:6
CALBAG METALS COMPANY,13,corrected,"700 North Hope Avenue, City of Industry, CA",CA,2495 NW Nicolai St,OR,OR:13
BOFA,13,confirmed,100 North Tryon Street,NC,,,NY:13
COLLIERS,13,corrected,"601 SW Second Avenue, Suite 1900, Portland, OR",OR,"601 Union Street, Suite 4800",WA,FL:13
COLDWELL BANKER REALTY,13,confirmed,175 Park Ave,NJ,,,FL:7; CA:4; TX:2
CITROMAX GROUP,13,corrected,"300 Theodore Fremd Avenue, Rye, NY",NY,444 Washington Ave,NJ,NJ:13
CRESSET CAPITAL,13,corrected,"333 South Grand Avenue, Suite 3300, Los Angeles, CA",CA,"444 West Lake Street, Suite 4700",IL,FL:11; GA:2
DERMATOLOGISTS OF CENTRAL STATES,13,corrected,"1205 S 2nd St, Springfield, IL",IL,"9987 Carver Road, Suite 250",OH,MI:13
FOURPOINT ENERGY,13,corrected,"1411 Broadway, Suite 300, Fort Worth, TX",TX,"100 St. Paul Street, Ste. 400",CO,CO:13
ELLE RYAN DESIGN,13,corrected,"1515 Broadway, New York, NY",NY,14011 Ventura Blvd #302,CA,CA:13
ELM STREET PARTNERS,13,corrected,"333 West Wacker Drive, Chicago, IL",IL,"820 Gessner Rd, Suite 1200",TX,FL:13
LATHROPGPM,13,confirmed,"2345 Grand Boulevard, Suite 2200",MO,,,CA:12; MD:1
MARINE POLYMER TECHNOLOGY,13,corrected,"11825 W Burleigh Rd, Brookfield, WI",WI,"461 Boston St, Suite B5",MA,MA:13
HOMEWOOD REALTY,13,corrected,"600 Quail Hollow Rd, Homewood, AL",AL,1121 E Philadelphia St,CA,CA:13
HAMMERMAN CAPITAL MANAGEMENT,13,corrected,"100 Crestview Drive, Suite 203, Summit, NJ",NJ,1232 Rose Lane,CA,CA:13
MERIDIAN CAPITAL GROUP,13,corrected,"1700 Market St, Suite 1600, Philadelphia, PA",PA,"1 Battery Park Plaza, 26th Floor",NY,NY:12; NJ:1
GROVE POINT PARTNERS,13,unknown,"400 North Michigan Avenue, Suite 1200",IL,,,FL:13
NEWFRONT,13,corrected,"1300 19th Street NW, Suite 300, Washington, DC",DC,"550 California St, Suite 840",CA,CA:13
MERRILL LYNCH/BANK OF AMERICA,13,confirmed,100 N Tryon St,NC,,,NY:13
THE BLOOM ORGANIZATION,13,corrected,"555 W 5th St Suite 3100, Los Angeles, CA",CA,"Optima Onyx Tower, 1010 S. Federal Highway, Suite 2804",FL,FL:13
SPOKE REAL ESTATE CAPITAL,13,corrected,"115 East 23rd Street, 5th Floor, New York, NY",NY,"875 N. High St., Suite 300",OH,OH:9; FL:4
SELECT PET PRODUCTS,13,corrected,"10 Longwater Drive, Suite 400, Norwell, MA",MA,2980 NE 207TH STREET SUITE 701,FL,FL:13
TKO GROUP HOLDINGS,13,confirmed,"125 West 55th Street, 27th Floor",NY,,,NV:13
ARNOLD & PORTER,13,confirmed,601 Massachusetts Avenue NW,DC,,,NJ:8; NY:4; MD:1
TUBI,13,confirmed,"100 Universal City Plaza, Building 700",CA,,,NY:13
SHALOM TIKVAH,13,corrected,"34 West 85th St, New York, NY",NY,2045 Myrtlewood Rd,MD,MD:13
BARNES & THORNBURG,13,confirmed,202 N. Meridian Street,IN,,,GA:6; TX:5; MN:1
POPPACK LLC,13,corrected,"100 Crescent Court, Suite 700, Dallas, TX",TX,"301 Junipero Serra Blvd, Suite 220",CA,CA:13
GURSTEL LAW FIRM PC,13,corrected,"30 East 33rd Street, Suite 500, New York, NY",NY,6681 Country Club Drive,MN,AZ:13
ORI HAMPEL MD PA,13,corrected,"2200 NE 33rd Ave, Suite 100, Ocala, FL",FL,3230 Strawberry Rd,TX,TX:13
DOWD BENNETT LLP,13,confirmed,"7733 Forsyth Boulevard, Suite 1900",MO,,,SC:13
"BIZMAVEN, LLC",13,unknown,600 W Chicago Ave,IL,,,DC:13
TIPTREE INC,13,corrected,"780 Third Ave, 21st Floor, New York, NY",NY,"660 Steamboat Road, 2nd Floor",CT,CT:13
REED SMITH LLP,13,confirmed,225 Fifth Avenue,PA,,,CT:9; NY:3; IL:1
STUART L DAITCH DMD PC,13,corrected,"7-11 Wyckoff Ave, Glen Rock, NJ",NJ,515 Madison Ave Suite 1225,NY,NY:13
ARROW PARKING CORP,13,corrected,"90 John Street, New York, NY",NY,204 E Lombard St,MD,MD:13
1970 GROUP,12,confirmed,33 Benedict Place,CT,,,NY:12
ALLIANCE BERNSTEIN,12,corrected,"1345 Avenue of the Americas, New York, NY",NY,501 Commerce Street,TN,TX:12
AMERICAN HEALTHCARE REIT,12,corrected,"c/o Welltower Inc., 500 Plaza Drive, Suite 400, Secaucus, NJ",NJ,"18191 Von Karman Avenue, Third Floor",CA,CA:12
ARGO PARTNERS,12,corrected,"555 California St Suite 300, San Francisco, CA",CA,"12 West 37th Street, Suite 900",NY,NY:12
BLUE ARCH CAPITAL,12,corrected,"150 East 52nd Street, 34th Floor, New York, NY",NY,2875 NE 191st Street PH 2A,FL,FL:12
AVEVA,12,corrected,"265 Franklin St, 17th Floor, Boston, MA",MA,"920 Memorial City Way, Suite 1200",TX,TX:12
COLRICH,12,corrected,"100 Fifth Avenue, Suite 700, Waltham, MA",MA,"444 West Beech Street, Suite 300",CA,CA:12
BRT REALTY,12,corrected,"200 Park Avenue, 11th Floor, Florham Park, NJ",NJ,"60 Cutter Mill Road, Suite 303",NY,NY:8; FL:4
ENDEAVOR,12,confirmed,"9601 Wilshire Boulevard, Suite 700",CA,,,FL:10; PR:2
AMATUS MANAGEMENT,12,unknown,10461 Mill Run Cir Ste 620,MD,,,VA:12
EB5 CAPITAL,12,corrected,"101 Montgomery Street, Suite 2200, San Francisco, CA",CA,"6106 MacArthur Blvd, Suite 104",MD,VA:12
EPIC BROKERS,12,confirmed,"1345 Avenue of the Americas, 36th Floor",NY,,,NJ:12
CONRAD N. HILTON FOUNDATION,12,corrected,"3033 Wilson Blvd, Suite 550, Arlington, VA",VA,1 Dole Drive,CA,CA:12
FDA,12,confirmed,10903 New Hampshire Avenue,MD,,,NJ:12
GSA,12,confirmed,1800 F Street NW,DC,,,CA:12
MAGELLAN DEVELOPMENT,12,corrected,"1201 Elm St, Suite 3500, Dallas, TX",TX,225 N. Columbus Drive Suite 100,IL,IL:12
ELUX CAPITAL,12,corrected,"250 Park Avenue, New York, NY",NY,"1101 Brickell Ave, South Tower, 8th Floor",FL,FL:12
MINTZ LEVIN,12,confirmed,One Financial Center,MA,,,NY:12
KOMAR ALLIANCE,12,corrected,"90 Hudson St, Jersey City, NJ",NJ,6900 Washington Blvd,CA,CA:12
MOSAIC CONSTRUCTION,12,corrected,"4700 Millenia Blvd, Suite 175, Orlando, FL",FL,"4201 Lake Cook Road, Suite 102",IL,IL:12
NUCANA,12,corrected,"3201 Tower Oaks Blvd, Suite 200, Rockville, MD",MD,"275 Grove Street, Suite 2-400",MA,MA:12
NEFCO,12,corrected,"318 West 39th Street, New York, NY",NY,411 Burnham Street,CT,CT:12
OFFIT KURMAN,12,confirmed,"7501 Wisconsin Ave, Suite 1000W",MD,,,VA:12
RICHARDS MANUFACTURING,12,corrected,"1110 W 7th Street, Pawtucket, RI",RI,517 Lyons Avenue,NJ,NJ:12
SCHOENBERG MEMORIAL CHAPEL,12,corrected,"280 Lincoln Street, Middletown, CT",CT,519 Philadelphia Pike,DE,DE:12
TEMPLE BETH ABRAHAM,12,corrected,"67 Jerome Ave, Providence, RI",RI,25 Leroy Avenue,NY,NY:12
"BRACEBRIDGE CAPITAL, LLC",12,corrected,"200 Liberty Street, 27th Floor, New York, NY",NY,"888 Boylston Street, 15th Floor",MA,MA:12
TERRACO,12,corrected,"45 Broad Street, Boston, MA",MA,"3201 Old Glenview Road, Suite 300",IL,IL:10; GA:2
VAPORSTREAM,12,corrected,"11440 Commerce Park Dr., Suite 400, Reston, VA",VA,"223 W Jackson Blvd, Suite 1104",IL,NJ:12
SPRING LABS,12,corrected,"55 Madison Avenue, 17th Floor, New York, NY",NY,"4551 Glencoe Ave, Suite 155",CA,FL:12
KING & SPALDING,12,confirmed,1180 Peachtree Street NE,GA,,,CA:8; NY:4
BELKIN BURDEN GOLDMAN,12,confirmed,476 5th Avenue,NY,,,NJ:12
CASPER SLEEP,12,confirmed,175 Greenwich Street,NY,,,PA:12
CLEAN CURRENTS INC,12,corrected,"59 Maiden Ln, Suite 302, New York, NY",NY,"8403 Colesville Rd, Suite 310",MD,MD:12
HOLLAND & KNIGHT,12,corrected,"800 17th Street NW, Suite 1100, Washington, DC",DC,"100 North Tampa Street, Suite 4100",FL,FL:11; TX:1
WEINBERG WHEELER HUDGINS GUNN & DIAL,12,confirmed,"3344 Peachtree Road NE, Suite 2400",GA,,,FL:12
MET COUNCIL ON JEWISH POVERTY,12,confirmed,232 East 1st Street,NY,,,NJ:12
ARTISAN PARTNERS,11,corrected,"325 South County Rd, Franklin, TN",TN,"875 E. Wisconsin Ave, Suite 800",WI,NY:11
BRG,11,corrected,"30 Deerfield Lane, Boston, MA",MA,"2200 Powell Street, Suite 1200",CA,NY:10; CT:1
ADELPHI DATA,11,corrected,"1000 Park Drive, Suite 300, Swansea, MA",MA,6713 Wemberly Way,VA,CT:11
ELEMENTS PHARMACY,11,corrected,"150 CambridgePark Dr, Suite 100, Cambridge, MA",MA,12602 Ventura Blvd,CA,CA:11
BY NANCY,11,unknown,242 West 38th Street,NY,,,CA:11
GREENWICH HOSPITAL,11,confirmed,5 Perryridge Road,CT,,,NY:11
BLATT REALTY,11,unknown,500 Seventh Avenue,NY,,,CA:11
HCA,11,confirmed,"One Park Plaza, 1 Park Plaza",TN,,,FL:8; TX:1; GA:1
HERON CAPITAL,11,corrected,"250 W 55th St, New York, NY",NY,"9245 N. Meridian St., Ste. 101",IN,CA:10; IN:1
JAFFE TILCHIN WEALTH MANAGEMENT,11,corrected,"830 Third Avenue, 7th Floor, New York, NY",NY,15350 N. Florida Avenue,FL,FL:11
HERROD CONSTRUCTION,11,corrected,"4600 E Washington Ave, Madison, WI",WI,1095 Cranbury South River Road,NJ,NJ:11
JBS HOLDING,11,confirmed,1770 Promontory Circle,CO,,,NY:11
LONG AND FOSTER,11,confirmed,"14501 George Carter Way, Suite 100",VA,,,MD:11
JONES DAY,11,corrected,"250 Vesey Street, New York, NY",NY,901 Lakeside Avenue,OH,FL:10; OH:1
MAGNITE,11,corrected,"2390 E Camelback Rd, Suite 700, Phoenix, AZ",AZ,"1250 Broadway, 9th Floor",NY,CA:6; NJ:5
MERITAGE HOMES,11,corrected,"9950 West Sample Road, Suite 100, Coral Springs, FL",FL,"18655 North Claret Drive, Suite 400",AZ,AZ:11
MATRIX PARTNERS,11,corrected,"44 Farnsworth Street, 4th Floor, Boston, MA",MA,"535 Mission Street, Suite 2600",CA,CA:11
QUEST DIAGNOSTICS,11,confirmed,500 Plaza Drive,NJ,,,CA:6; FL:3; PA:1
MERCHANT ASSOCIATES,11,unknown,ONE PENNSYLVANIA PLAZA 52ND FL,NY,,,CA:11
ROCKBRIDGE GROWTH EQUITY,11,corrected,"680 Lee Rd NE, Suite 200, Atlanta, GA",GA,"1555 Broadway St, The Madison - 4th Floor",MI,MI:11
STRIPE,11,confirmed,510 Townsend St,CA,,,NY:11
RADIUS RECYCLING,11,corrected,"201 Mission St, Suite 2375, San Francisco, CA",CA,"222 SW Columbia Street, Suite 1150",OR,WA:11
THE ARBA GROUP,11,corrected,"1000 Brickell Ave Suite 720, Miami, FL",FL,6300 Wilshire Blvd Suite 1800,CA,CA:11
ADVOCATE LLP,11,corrected,"3075 Highland Parkway, Downers Grove, IL",IL,805 Third Avenue Suite 2030,NY,NJ:10; GA:1
NEUROCK CAPITAL,11,corrected,"1111 Brickell Ave, Suite 600, Miami, FL",FL,"25 Robert Pitt Dr, Suite 204",NY,NY:11
ZOOMIN SOFTWARE,11,corrected,"55 Almaden Blvd, Suite 900, San Jose, CA",CA,"150 West 28th Street, 17th Floor",NY,NY:11
THE RIVERSIDE COMPANY,11,corrected,"5201 Tennyson Pkwy, Ste 500, Plano, TX",TX,"45 Rockefeller Center, 630 Fifth Avenue, Suite 400",NY,OH:9; NY:2
BDT&MSD,11,corrected,"200 Park Avenue, 19th Floor, New York, NY",NY,"401 North Michigan Avenue, Suite 3100",IL,IL:11
CEISLER MEDIA & ISSUE ADVOCACY,11,corrected,"445 Park Ave, New York, NY",NY,"1525 Locust St, 6th Floor",PA,PA:11
"CARYN GROEDEL & ASSOCIATES CO., LPA",11,confirmed,"31300 Solon Rd, Suite 27",OH,,,FL:11
HUGHES & SCALISE PC,11,corrected,"600 Montgomery St, San Francisco, CA",CA,600 Luckie Dr Ste 405,AL,AL:11
LCA BANK CORP,11,corrected,"58 South Service Road, Suite 202, Melville, NY",NY,"310 South Main St, Suite 900",UT,MI:11
"L&M FOOTWEAR, INC",11,corrected,"461 Fifth Avenue, New York, NY",NY,5303 E Washington Blvd,CA,CA:11
ROSEN NEUBERGER LEHMANN LLP,11,corrected,"800 Third Avenue, 26th Floor, New York, NY",NY,"2850 Quarry Lake Drive, Suite 300",MD,MD:11
MARC J. BERN & PARTNERS LLP,11,confirmed,"245 Park Avenue, 39th Floor",NY,,,CO:11
"NATIONAL COLLECTOR''S MINT, INC",11,corrected,"16000 Ventura Blvd, Suite 200, Encino, CA",CA,"2975 Westchester Ave, Suite 300",NY,CT:11
SHADER BROTHERS CORP,11,corrected,"100 Sunrise Hwy, Bay Shore, NY",NY,6327 Edgewater Dr,FL,FL:11
"THALHEIMER BROTHERS, LLC",11,corrected,"1450 Broadway, New York, NY",NY,700 E Godfrey Avenue,PA,PA:11
WOLFE & WYMAN LLP,11,corrected,"400 Atlantic Avenue, Boston, MA",MA,2212 Dupont Drive,CA,CA:11
JCC ASSOCIATION OF NORTH AMERICA,11,confirmed,"520 Eighth Avenue, 4th Floor",NY,,,NJ:11
"EYE PHYSICIANS OF ORANGE COUNTY, P.C",11,corrected,"2600 Michelson Dr Suite 1200, Irvine, CA",CA,"1 Hatfield Lane, Suite 3",NY,NY:11
SCHONFELD STRATEGIC ADVISORS,11,confirmed,"299 Park Avenue, 12th Floor",NY,,,FL:11
ACCESS ENTERTAINMENT,10,corrected,"110 N Wacker Dr, Suite 3500, Chicago, IL",IL,"40 West 57th Street, 28th Floor",NY,CA:10
ADI MANAGEMENT,10,corrected,"185 Berry St, Suite 6500, San Francisco, CA",CA,17290 Highland Ave Ste 1,NY,NY:10
ATHENE,10,corrected,"4750 S Biltmore Ln, Madison, WI",WI,7700 Mills Civic Parkway,IA,CA:10
ALCO PRODUCTS,10,corrected,"2200 W Lake St, Melrose Park, IL",IL,580 Saint Jean St,MI,MD:10
BECKER GURIAN,10,corrected,"200 State St, 7th Floor, Boston, MA",MA,"513 Central Avenue, Suite 400",IL,IL:10
CASTING NETWORKS,10,corrected,"6900 Universal Blvd, Ste 460, Orlando, FL",FL,"3250 Wilshire Blvd, Ste 1800",CA,CA:10
CHIEF EXECUTIVE GROUP,10,corrected,"1276 Walt Whitman Road, Suite 101, Melville, NY",NY,"100 Westwood Pl, Suite 445",TN,CT:9; NH:1
BLOOMFIELD CAPITAL,10,corrected,"900 North Michigan Avenue, Suite 2500, Chicago, IL",IL,700 Forest Ave,MI,MI:10
CRESA,10,corrected,"2100 Ross Avenue, Suite 1600, Dallas, TX",TX,"167 N Green Street, Suite 1301",IL,MD:10
AES MANAGEMENT,10,corrected,"4300 Wilson Boulevard, Arlington, VA",VA,539 Eastern Parkway,NY,NY:10
DRAFTKINGS,10,corrected,"Citi Tower, 2200 N Commerce Pkwy, Suite 300, Fort Lauderdale, FL",FL,"222 Berkeley Street, 5th Floor",MA,CO:10
FRIEDLANDER GROUP,10,corrected,"5200 Butler St, Pittsburgh, PA",PA,"2500 Westchester Ave, Suite 400A",NY,NY:10
HIGHCAPE CAPITAL,10,corrected,"3801 PGA Boulevard, Suite 600, Palm Beach Gardens, FL",FL,36 Church Lane,CT,CT:10
GEMINI PROPERTIES,10,corrected,"650 California Street, Suite 1900, San Francisco, CA",CA,1313 Washington St,MA,MA:10
HEALTH QUALITY MANAGEMENT,10,corrected,"1015 15th St NW, Suite 600, Washington, DC",DC,"15760 Ventura Boulevard, Suite 920",CA,CA:10
INCYTE,10,confirmed,1801 Augustine Cut Off,DE,,,PA:10
EDJCO,10,unknown,"1101 Pennsylvania Ave NW, Suite 500",DC,,,CA:10
IMC,10,confirmed,"525 West Monroe Street, Suite 3000",IL,,,NY:10
INGENUS PHARMACEUTICALS,10,corrected,"12650 Constitution Dr, Sheridan, IN",IN,"4901 Vineland Road, Suite 260",FL,TX:10
LIQUID ENVIRONMENTAL SOLUTIONS,10,confirmed,"7651 Esters Blvd, Suite 200",TX,,,CA:10
LOCKTON,10,confirmed,"444 West 47th Street, Suite 900",MO,,,NY:9; FL:1
LERNER RESIDENTIAL,10,corrected,"2000 M St NW, Suite 700, Washington, DC",DC,5009 Monroe Rd Suite 200,NC,NC:10
OUTERSTUFF,10,confirmed,1412 Broadway,NY,,,NJ:10
ORIGIN VENTURES,10,corrected,"150 California Street, Suite 1800, San Francisco, CA",CA,"549 W Randolph St, Suite 601",IL,IL:10
RED VENTURES,10,confirmed,"1441 Main St., Ste. 400",SC,,,NC:10
NEW AMSTERDAM PHARMA,10,corrected,"260 West 39th Street, 4th Floor, New York, NY",NY,"20803 Biscayne Blvd, Suite 105",FL,FL:8; IL:2
RICHMARK LABEL,10,corrected,"311 SW 4th Ave, Suite 700, Portland, OR",OR,1110 E Pine St,WA,WA:10
LAMBERT MEDIA GROUP,10,corrected,"3 West 18th Street, 2nd Floor, New York, NY",NY,11400 W Olympic Blvd Suite 590,CA,CA:10
OURCROWD,10,confirmed,"20 Jay St, Suite 315",NY,,,IL:5; CT:5
STANBERY DEVELOPMENT,10,corrected,"1325 4th Ave, Suite 940, San Diego, CA",CA,"2807 Delmar Drive, Suite A",OH,OH:10
RPC,10,confirmed,"2801 Buford Hwy NE, Suite 300",GA,,,KS:9; FL:1
STEVENS TRANSPORT,10,corrected,"1900 W Wabash Ave, Springfield, OH",OH,9757 Military Pkwy,TX,TX:10
RIEDER COMMUNITIES,10,unknown,"800 S. Douglas Road, Suite 100",FL,,,NY:10
TIEKS,10,corrected,"1000 S Pine Island Rd, Plantation, FL",FL,"269 S Beverly Dr, Ste 1402",CA,CA:10
TREELINE BIOSCIENCES,10,corrected,"650 California Street, Suite 1900, San Francisco, CA",CA,"677 Washington Boulevard, Suite 525",CT,CT:10
NUCARE SERVICES CORP,10,corrected,"1501 4th Ave, Seattle, WA",WA,7257 N Lincoln Ave Ste 100,IL,IL:10
"SEDER $ CHANDLER, LLP",10,corrected,"225 WASHINGTON STREET, SUITE 300, HOBOKEN, NJ",NJ,"339 Main Street, Suite 300",MA,MA:10
PAUL HASTINGS LLP,10,corrected,"200 Park Avenue, New York, NY",NY,"515 South Flower Street, 25th Floor",CA,CA:3; IL:3; MD:3
AMERICAN FINDINGS CORP,10,corrected,"151 W 26th St, 12th Floor, New York, NY",NY,10441 N Scottsdale Rd,AZ,AZ:10
ZOCHEM LLC,10,corrected,"30 Technology Dr, Westborough, MA",MA,600 Printwood Dr,TN,TX:10
"SHAMBERG, JOHNSON & BERGMAN",10,corrected,"2600 N Central Ave, Ste 1800, Phoenix, AZ",AZ,"2600 Grand Blvd, Suite 550",MO,OH:10
TOTAL PACKAGING,10,corrected,"217 S 8th Street, Perkasie, PA",PA,6800 Jericho Turnpike,NY,NY:10
HLM CAPITAL MANAGEMENT GROUP,10,corrected,"440 Lincoln St, Worcester, MA",MA,"1849 Green Bay Road, Suite 200",IL,IL:10
SPONSEL MILLER GREENBERG PLLC,10,corrected,"55 West Monroe St, Chicago, IL",IL,520 Post Oak Blvd Suite 310,TX,TX:10
AZTEC GROUP,10,corrected,"3801 Hulen St #450, Fort Worth, TX",TX,2665 S Bayshore Dr PH-2A,FL,FL:10
FIRST REPUBLIC PRIVATE WEALTH MANAGEMENT,10,confirmed,111 Pine St,CA,,,FL:10
"ACRISURE, DBA ODELL STUDNER GROUP",10,corrected,"200 W MADISON ST STE 2600, CHICAGO, IL",IL,100 Ottawa Ave SW,MI,PA:9; FL:1
CBIZ MARKS PANETH,10,confirmed,6050 Oak Tree Boulevard South,OH,,,NY:10
APPLIED MATERIALS,9,confirmed,3050 Bowers Avenue,CA,,,NY:9
BH3,9,corrected,"100 State St, Suite 400, Boston, MA",MA,"819 NE 2nd Avenue, Suite 500",FL,FL:9
ASCEND ADVISORS,9,corrected,"3 Columbus Circle, 15th Floor, New York, NY",NY,"27001 Agoura Road, Suite 280",CA,CA:9
CHIME,9,corrected,"One Thomas Johnson Drive, Suite 200, Frederick, MD",MD,"101 California Street, Suite 500",CA,CA:9
CITIBANK,9,confirmed,388 Greenwich Street,NY,,,NJ:5; CT:4
CORNERSTONE GOVERNMENT AFFAIRS,9,confirmed,"1627 I St NW, Suite 1100",DC,,,IA:7; IL:2
COPS MONITORING,9,corrected,"1033 N. Kirk Rd., Suite 250, Hickory, NC",NC,1041 Glassboro Rd Suite F2,NJ,NY:9
CRAYHILL CAPITAL MANAGEMENT,9,corrected,"1611 Telegraph Avenue, Oakland, CA",CA,"280 Park Avenue, FL 27E",NY,NY:9
BIRTHRIGHT ISRAEL,9,corrected,"1101 14th Street NW, Suite 700, Washington, DC",DC,"711 3rd Ave, 10th Floor",NY,MD:9
CSG LAW,9,corrected,"599 Lexington Ave, 41st Floor, New York, NY",NY,105 Eisenhower Parkway,NJ,NJ:9
DOWNTOWNWORKS,9,corrected,"220 W 19th St, Suite 100, New York, NY",NY,"550 West B Street, 4th Floor",CA,CA:9
ELDRIDGE ACRE PARTNERS,9,corrected,"250 Park Ave S, 6th Floor, New York, NY",NY,"1900 Avenue of the Stars, Suite 2400",CA,CA:9
EPSTEIN BECKER AND GREEN,9,confirmed,875 Third Avenue,NY,,,FL:8; TX:1
ELECTRO INDUSTRIES,9,corrected,"56 Federal Road, Danbury, CT",CT,1800 Shames Drive,NY,NY:9
DRG BEHAVIORAL HEALTH,9,corrected,"150 North Radnor Chester Road, Suite F140, Radnor, PA",PA,3219 E Camelback Rd # 798,AZ,AZ:9
FOURSQUARE CORPORATION,9,corrected,"170 W Santa Clara St, 8th Floor, San Jose, CA",CA,"50 W 23rd St, 8th Floor",NY,MA:9
EDGILE,9,corrected,"1000 Winter Street, Suite 200, Waltham, MA",MA,"7000 N. Mopac Expressway, Suite 200",TX,TX:9
