committee_name,contributor_state,address,city,address_state,zip,note,rows,amount
ANDY BARR FOR SENATE,KY,,,,,,9,1455
MCCLELLAN FOR CONGRESS,VA,,,,,,34,1446
TROY CARTER FOR CONGRESS,LA,,,,,,26,1420
GILLEN FOR NY,DC,,,,,,21,1393
DEREK SCHMIDT FOR CONGRESS,KS,,,,,,31,1387
STUTZMAN FOR CONGRESS,IN,,,,,,20,1365
AARON BEAN FOR CONGRESS,FL,,,,,,42,1347
NELLIE POU FOR CONGRESS,NJ,,,,,,34,1346
CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE,TN,,,,,,27,1310
SCOTT FRANKLIN FOR CONGRESS,FL,,,,,,33,1286
GIBBS FOR CONGRESS,OH,,,,,,10,1285
WALORSKI FOR CONGRESS,IN,,,,,,13,1275
MIKE HARIDOPOLOS FOR CONGRESS,FL,,,,,,16,1271
MEUSER FOR CONGRESS,WI,,,,,,27,1270
DR RAUL RUIZ FOR CONGRESS,CA,PO Box 1566,Indio,CA,92202,FEC committee C00502575 — official address; merged with RAUL RUIZ FOR CONGRESS,38,1254
WESTERMAN FOR CONGRESS,AR,,,,,,18,1251
MIKE FLOOD FOR CONGRESS,NE,,,,,,18,1250
FRIENDS OF JIMMY PATRONIS,AL,,,,,,33,1239
ROB FOR,PA,,,,,,32,1221
CASE FOR CONGRESS,HI,,,,,,26,1218
FINSTAD FOR CONGRESS,MN,,,,,,32,1204
BUCK FOR COLORADO,CO,,,,,,27,1179
JOHN DUARTE FOR CONGRESS,CA,,,,,,17,1167
DIANA FOR CONGRESS,TN,,,,,,18,1166
DAVID ROUZER FOR CONGRESS,NC,,,,,,41,1161
DR BRIAN BABIN FOR CONGRESS,TX,,,,,,53,1157
DREW FERGUSON FOR CONGRESS,GA,,,,,,23,1150
LOU CORREA FOR CONGRESS,CA,,,,,,37,1134
BRANDON GILL FOR TEXAS,VA,,,,,,23,1132
BILIRAKIS FOR CONGRESS,FL,,,,,,50,1120
QUIGLEY FOR CONGRESS,IL,,,,,,29,1119
ELECTGABEEVANS.COM,CO,,,,,,20,1102
TIM SCOTT FOR SENATE,SC,,,,,,29,1087
TOM O'HALLERAN FOR CONGRESS,AZ,,,,,,27,1066
PETE STAUBER FOR CONGRESS,MN,,,,,,38,1052
MCCLINTOCK FOR CONGRESS,CA,,,,,,23,1045
GEORGE WHITESIDES FOR CONGRESS,CA,,,,,,20,1034
FISCHBACH FOR CONGRESS,MN,,,,,,28,1028
CLOUD FOR CONGRESS,TX,,,,,,33,1026
HITTER FAMILY LIMITED PARTNERSHIP,CA,,,,,,1,1000
KAHAN TRUST,MI,,,,,,1,1000
KALMAN YEGER NYC,NY,,,,,,1,1000
NORA VARGAS FOR SUPERVISOR,CA,,,,,,1,1000
RULLI FOR OHIO,OH,,,,,,14,992
JOHN CARTER FOR CONGRESS,TX,,,,,,36,990
SCOTT FITZGERALD FOR CONGRESS,WI,,,,,,19,977
DOUG LAMALFA COMMITTEE,CA,,,,,,17,975
RICK W ALLEN FOR CONGRESS,GA,,,,,,35,971
YVETTE4CONGRESS,NM,,,,,,10,964
GALLEGO FOR ARIZONA,AZ,,,,,,28,952
ANDY OGLES FOR CONGRESS,TN,,,,,,21,904
RON ESTES FOR CONGRESS,KS,,,,,,38,889
BONAMICI FOR CONGRESS,OR,,,,,,19,885
LAUREL LEE FOR CONGRESS,FL,,,,,,40,882
HERB CONAWAY FOR CONGRESS,NJ,,,,,,23,871
MICHAEL BURGESS FOR CONGRESS,TX,,,,,,34,850
ZINKE FOR CONGRESS,MT,,,,,,15,828
FRIENDS OF MICHAEL GUEST,MS,,,,,,11,815
JOHNSON FOR CONGRESS,OH,,,,,,12,800
DANIEL HERNANDEZ FOR CONGRESS,AZ,,,,,,29,789
BIGGS FOR CONGRESS,VA,,,,,,12,788
ANDY KIM FOR CONGRESS,NJ,,,,,,10,755
FRIENDS OF TIM MOORE,NC,,,,,,14,752
THE PAT HARRIGAN COMMITTEE,NC,,,,,,14,751
MOORE FOR WEST VIRGINIA,WV,,,,,,17,738
ERIC BURLISON FOR CONGRESS,MO,,,,,,18,735
BARRY MOORE FOR CONGRESS,AL,,,,,,8,712
COLLINS FOR CONGRESS,GA,,,,,,9,706
CINDY AXNE FOR CONGRESS,IA,,,,,,22,694
HUIZENGA FOR CONGRESS,MI,,,,,,8,688
MCDOWELL FOR CONGRESS,NC,,,,,,17,683
AL LAWSON FOR CONGRESS,FL,,,,,,8,667
KELLY FOR CONGRESS,MS,,,,,,12,665
FRIENDS OF SCOTT DESJARLAIS,TN,,,,,,6,645
CATHY MCMORRIS RODGERS FOR CONGRESS,WA,,,,,,7,632
JASON CROW FOR CONGRESS,CO,,,,,,12,615
LANCE GOODEN FOR CONGRESS COMMITTEE,TX,,,,,,22,608
BURCHETT FOR CONGRESS,TN,,,,,,8,607
MORGAN GRIFFITH FOR CONGRESS,VA,,,,,,14,606
VAL HOYLE FOR CONGRESS,OR,,,,,,21,604
MIKE JOHNSON FOR LOUISIANA,LA,,,,,,9,602
SCOTT PETERS FOR CONGRESS,CA,,,,,,9,601
DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,MD,,,,,,13,590
SYLVESTER TURNER CAMPAIGN,TX,,,,,,11,584
ADAM GRAY FOR CONGRESS,CA,,,,,,13,575
KURT SCHRADER FOR CONGRESS,OR,,,,,,20,556
ELISSA SLOTKIN FOR CONGRESS,MI,,,,,,25,550
MOOLENAAR FOR CONGRESS,MI,,,,,,12,550
HAGEMAN FOR WYOMING,WY,,,,,,14,526
FREDERICA S WILSON FOR CONGRESS,DC,,,,,,45,516
A B DATA CLIENT TRUST,WI,,,,,,1,502
BISHOP FOR CONGRESS,NC,,,,,,5,500
FERRNCZ,IL,,,,,,1,500
"HAAS, .CANDICE",CA,,,,,,1,500
MCEACHIN FOR CONGRESS,VA,,,,,,5,500
NOT EMPLOYED,GA,,,,,,1,500
WALDMAN,CA,,,,,,1,500
DALE STRONG FOR CONGRESS,AL,,,,,,7,478
FRIENDS OF JAHANA HAYES,CT,,,,,,8,454
ANNA PAULINA LUNA FOR CONGRESS,FL,,,,,,24,453
SHREVE FOR CONGRESS,IN,,,,,,9,452
HOUCHIN FOR CONGRESS,IN,,,,,,9,450
VERONICA ESCOBAR FOR CONGRESS,TX,,,,,,5,436
ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,TX,,,,,,5,425
JAY OBERNOLTE FOR CONGRESS,GA,,,,,,3,415
ADRIAN SMITH FOR CONGRESS,NE,,,,,,20,390
HIMES FOR CONGRESS,CT,,,,,,44,379
TOM MALINOWSKI FOR CONGRESS,NJ,,,,,,10,363
SCHOTTENSTEIN STORES CORPORATION PAC,OH,,,,,,1,360
FEDORCHAK FOR ND,ND,,,,,,7,350
JOSH RILEY FOR CONGRESS,NY,,,,,,2,325
EMILY RANDALL FOR CONGRESS,WA,,,,,,11,319
HAL ROGERS FOR CONGRESS,KY,,,,,,2,290
MATT ROSENDALE FOR MONTANA,MT,,,,,,2,290
TERESA FOR ALL,NM,,,,,,2,290
JOHN CURTIS FOR UTAH,UT,,,,,,8,250
MARK HARRIS FOR CONGRESS,NC,,,,,,12,239
MATT VAN EPPS FOR CONGRESS,TN,,,,,,5,225
TROY DOWNING FOR CONGRESS,MT,,,,,,2,194
LUMMIS FOR WYOMING,WY,,,,,,7,176
MCGUIRE FOR VIRGINIA,VA,,,,,,1,175
ROBIN KELLY FOR CONGRESS,IL,,,,,,1,175
FRIENDS OF DAVE JOYCE,OH,,,,,,1,165
MIKE KENNEDY FOR UTAH,UT,,,,,,1,165
JOHN KENNEDY FOR US,LA,,,,,,35,134
"MARIE FOR CONGRESS, MARIE GLUESENKAMP REP.",WA,,,,,,3,100
LAURA FRIEDMAN FOR CONGRESS,CA,,,,,,3,68
DAVID TRONE FOR MARYLAND,MD,,,,,,156,0
TONY CARDENAS FOR CONGRESS,DC,,,,,,95,-336
LARSON FOR CONGRESS,CT,,,,,,31,-999
DEBBIE LESKO FOR CONGRESS,AZ,,,,,,47,-2595
KANSANS FOR LATURNER,KS,,,,,,22,-4071
MIKE KELLY FOR CONGRESS,PA,,,,,,20,-4657
GUTHRIE FOR CONGRESS,KY,,,,,,14,-4709
CLIFF BENTZ FOR CONGRESS,OR,,,,,,1,-5000
SETH FOR MASSACHUSETTS,MA,,,,,,8,-5795
TED DEUTCH FOR CONGRESS COMMITTEE,DC,,,,,,2,-5800
